DATE,HOUR,TEMPERATURE,HUMIDITY,WIND_SPEED,VISIBILITY,DEW_POINT_TEMPERATURE,SOLAR_RADIATION,RAINFALL,SNOWFALL,SEASONS,HOLIDAY,FUNCTIONING_DAY,RENTED_BIKE_COUNT
01/01/2019,0,0.9,93,5.52,0,0.0,0.0,0.1,0.0,Winter,No Holiday,Yes,41
01/01/2019,1,1.2,91,4.9,0,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,48
01/01/2019,2,1.1,90,4.62,0,-0.3,0.0,0.0,0.0,Winter,No Holiday,Yes,37
01/01/2019,3,0.9,89,5.32,0,-0.7,0.0,0.0,0.0,Winter,No Holiday,Yes,17
01/01/2019,4,0.4,87,5.61,0,-1.5,0.0,0.0,0.0,Winter,No Holiday,Yes,10
01/01/2019,5,-0.2,86,5.82,0,-2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,7
01/01/2019,6,-0.6,85,6.61,0,-2.9,0.0,0.0,0.0,Winter,No Holiday,Yes,13
01/01/2019,7,-0.3,84,5.81,0,-2.8,0.0,0.1,0.07,Winter,No Holiday,Yes,21
01/01/2019,8,-0.6,83,5.81,0,-3.0,0.0,0.1,0.07,Winter,No Holiday,Yes,29
01/01/2019,9,-0.8,83,5.71,0,-3.2,0.0,0.1,0.07,Winter,No Holiday,Yes,61
01/01/2019,10,-0.7,81,5.51,0,-3.5,0.0,0.1,0.07,Winter,No Holiday,Yes,76
01/01/2019,11,-0.7,81,5.9,0,-3.5,0.0,0.0,0.07,Winter,No Holiday,Yes,88
01/01/2019,12,-0.9,81,6.07,0,-3.7,0.0,0.1,0.07,Winter,No Holiday,Yes,102
01/01/2019,13,-1.1,82,5.68,0,-3.9,0.0,0.1,0.07,Winter,No Holiday,Yes,93
01/01/2019,14,-1.0,80,5.87,0,-4.0,0.0,0.1,0.07,Winter,No Holiday,Yes,74
01/01/2019,15,-1.1,79,5.83,0,-4.2,0.0,0.1,0.07,Winter,No Holiday,Yes,116
01/01/2019,16,-1.2,79,5.3,0,-4.3,0.0,0.0,0.0,Winter,No Holiday,Yes,132
01/01/2019,17,-1.3,79,4.61,0,-4.4,0.0,0.0,0.0,Winter,No Holiday,Yes,84
01/01/2019,18,-1.5,83,3.76,0,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes,83
01/01/2019,19,-2.5,86,4.05,0,-4.4,0.0,0.0,0.0,Winter,No Holiday,Yes,62
01/01/2019,20,-2.6,85,3.77,0,-4.7,0.0,0.0,0.0,Winter,No Holiday,Yes,43
01/01/2019,21,-2.7,85,3.14,0,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes,27
01/01/2019,22,-2.7,84,2.83,0,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,32
01/01/2019,23,-2.7,84,2.55,0,-5.1,0.0,0.0,0.0,Winter,No Holiday,Yes,16
01/01/2020,0,-4.6,84,4.12,0,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,47
01/01/2020,1,-4.9,85,3.95,0,-7.0,0.0,0.0,0.0,Winter,No Holiday,Yes,66
01/01/2020,2,-5.2,86,3.73,0,-7.2,0.0,0.0,0.0,Winter,No Holiday,Yes,54
01/01/2020,3,-5.5,87,3.55,0,-7.3,0.0,0.0,0.0,Winter,No Holiday,Yes,13
01/01/2020,4,-5.8,88,3.58,0,-7.4,0.0,0.0,0.0,Winter,No Holiday,Yes,10
01/01/2020,5,-6.0,87,3.86,0,-7.8,0.0,0.0,0.0,Winter,No Holiday,Yes,10
01/01/2020,6,-6.1,84,4.36,0,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,23
01/01/2020,7,-5.8,81,4.34,0,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,16
01/01/2020,8,-5.8,80,4.3,0,-8.6,0.0,0.0,0.0,Winter,No Holiday,Yes,34
01/01/2020,9,-5.1,80,4.69,0,-8.0,0.0,0.0,0.0,Winter,No Holiday,Yes,61
01/01/2020,10,-2.9,76,5.08,0,-6.6,0.0,0.0,0.0,Winter,No Holiday,Yes,77
01/01/2020,11,-0.5,67,5.96,0,-5.8,0.0,0.0,0.0,Winter,No Holiday,Yes,139
01/01/2020,12,1.5,60,6.48,0,-5.4,0.0,0.0,0.0,Winter,No Holiday,Yes,186
01/01/2020,13,2.9,59,7.22,0,-4.3,0.0,0.0,0.0,Winter,No Holiday,Yes,207
01/01/2020,14,4.0,60,7.34,0,-3.1,0.0,0.0,0.0,Winter,No Holiday,Yes,222
01/01/2020,15,4.9,61,6.71,0,-1.9,0.0,0.0,0.0,Winter,No Holiday,Yes,220
01/01/2020,16,4.9,62,7.31,0,-1.7,0.0,0.0,0.0,Winter,No Holiday,Yes,192
01/01/2020,17,4.3,64,7.82,0,-2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,163
01/01/2020,18,4.0,66,8.23,0,-1.9,0.0,0.0,0.0,Winter,No Holiday,Yes,135
01/01/2020,19,3.3,71,9.05,0,-1.4,0.0,0.0,0.0,Winter,No Holiday,Yes,82
01/01/2020,20,3.8,68,9.77,0,-1.5,0.0,0.0,0.0,Winter,No Holiday,Yes,69
01/01/2020,21,4.2,65,9.92,0,-1.8,0.0,0.0,0.0,Winter,No Holiday,Yes,47
01/01/2020,22,4.3,61,9.52,0,-2.5,0.0,0.0,0.0,Winter,No Holiday,Yes,44
01/01/2020,23,4.5,58,8.95,0,-3.0,0.0,0.0,0.0,Winter,No Holiday,Yes,24
01/01/2021,0,-3.2,79,3.14,0,-6.4,0.0,0.0,0.0,Winter,No Holiday,Yes,35
01/01/2021,1,-3.7,82,3.18,0,-6.3,0.0,0.0,0.0,Winter,No Holiday,Yes,48
01/01/2021,2,-3.2,81,3.95,0,-6.1,0.0,0.0,0.0,Winter,No Holiday,Yes,57
01/01/2021,3,-2.7,80,4.77,0,-5.7,0.0,0.0,0.0,Winter,No Holiday,Yes,17
01/01/2021,4,-2.5,81,5.15,0,-5.3,0.0,0.0,0.0,Winter,No Holiday,Yes,14
01/01/2021,5,-2.9,82,4.8,0,-5.5,0.0,0.0,0.0,Winter,No Holiday,Yes,29
01/01/2021,6,-3.0,81,3.93,0,-5.8,0.0,0.0,0.0,Winter,No Holiday,Yes,48
01/01/2021,7,-2.1,81,5.22,0,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes,51
01/01/2021,8,-1.6,82,5.33,0,-4.3,0.0,0.0,0.0,Winter,No Holiday,Yes,49
01/01/2021,9,-0.9,82,6.39,0,-3.7,0.0,0.0,0.0,Winter,No Holiday,Yes,46
01/01/2021,10,-0.6,81,7.91,0,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,83
01/01/2021,11,-0.3,80,6.56,0,-3.2,0.0,0.1,0.07,Winter,No Holiday,Yes,75
01/01/2021,12,-0.5,84,7.56,0,-2.8,0.0,0.8,0.56,Winter,No Holiday,Yes,55
01/01/2021,13,-0.6,89,8.24,0,-2.2,0.0,2.4,1.61,Winter,No Holiday,Yes,65
01/01/2021,14,-0.4,92,9.44,0,-1.5,0.0,4.0,1.82,Winter,No Holiday,Yes,85
01/01/2021,15,0.2,91,9.04,0,-1.1,0.0,1.4,0.35,Winter,No Holiday,Yes,71
01/01/2021,16,0.5,91,8.54,0,-0.8,0.0,0.4,0.21,Winter,No Holiday,Yes,47
01/01/2021,17,0.6,90,8.35,0,-0.8,0.0,0.2,0.07,Winter,No Holiday,Yes,53
01/01/2021,18,0.9,89,7.78,0,-0.8,0.0,0.1,0.0,Winter,No Holiday,Yes,34
01/01/2021,19,0.9,95,6.17,0,0.2,0.0,0.1,0.0,Winter,No Holiday,Yes,35
01/01/2021,20,0.9,96,6.0,0,0.3,0.0,0.8,0.42,Winter,No Holiday,Yes,18
01/01/2021,21,0.8,97,6.39,0,0.3,0.0,1.8,1.12,Winter,No Holiday,Yes,22
01/01/2021,22,0.8,97,6.92,0,0.3,0.0,1.9,1.26,Winter,No Holiday,Yes,17
01/01/2021,23,0.8,98,8.43,0,0.4,0.0,1.7,1.12,Winter,No Holiday,Yes,14
01/01/2022,0,4.2,92,6.32,0,3.0,0.0,0.0,0.0,Winter,No Holiday,Yes,220
01/01/2022,1,3.9,92,6.63,0,2.7,0.0,0.0,0.0,Winter,No Holiday,Yes,328
01/01/2022,2,3.5,90,7.6,0,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,259
01/01/2022,3,3.2,89,7.41,0,1.5,0.0,0.0,0.0,Winter,No Holiday,Yes,85
01/01/2022,4,3.0,87,7.55,0,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,35
01/01/2022,5,3.0,86,7.6,0,0.9,0.0,0.0,0.0,Winter,No Holiday,Yes,20
01/01/2022,6,2.9,85,8.56,0,0.6,0.0,0.0,0.0,Winter,No Holiday,Yes,42
01/01/2022,7,2.7,84,7.95,0,0.2,0.0,0.0,0.0,Winter,No Holiday,Yes,90
01/01/2022,8,2.5,82,8.55,0,-0.2,0.0,0.0,0.0,Winter,No Holiday,Yes,93
01/01/2022,9,2.5,81,8.05,0,-0.4,0.0,0.0,0.0,Winter,No Holiday,Yes,131
01/01/2022,10,2.5,79,10.02,0,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,171
01/01/2022,11,2.1,78,10.41,0,-1.2,0.0,0.1,0.0,Winter,No Holiday,Yes,221
01/01/2022,12,1.8,81,10.21,0,-1.1,0.0,0.1,0.07,Winter,No Holiday,Yes,236
01/01/2022,13,1.4,82,10.03,0,-1.4,0.0,0.3,0.21,Winter,No Holiday,Yes,158
01/01/2022,14,1.0,82,10.51,0,-1.6,0.0,0.5,0.35,Winter,No Holiday,Yes,93
01/01/2022,15,0.6,85,11.18,0,-1.8,0.0,0.8,0.56,Winter,No Holiday,Yes,68
01/01/2022,16,0.3,85,11.42,0,-1.9,0.0,0.9,0.63,Winter,No Holiday,Yes,55
01/01/2022,17,0.2,84,11.01,0,-2.2,0.0,1.2,0.84,Winter,No Holiday,Yes,55
01/01/2022,18,-0.2,86,11.13,0,-2.2,0.0,1.6,1.12,Winter,No Holiday,Yes,48
01/01/2022,19,-0.4,88,10.56,0,-2.2,0.0,1.4,0.98,Winter,No Holiday,Yes,39
01/01/2022,20,-0.6,85,11.84,0,-2.7,0.0,1.2,0.84,Winter,No Holiday,Yes,32
01/01/2022,21,-0.7,81,11.86,0,-3.5,0.0,0.4,0.28,Winter,No Holiday,Yes,32
01/01/2022,22,-0.9,81,11.22,0,-3.8,0.0,0.2,0.14,Winter,No Holiday,Yes,24
01/01/2022,23,-1.3,80,10.66,0,-4.2,0.0,0.4,0.28,Winter,No Holiday,Yes,28
01/02/2019,0,-17.0,77,2.81,0,-20.0,0.0,0.1,0.07,Winter,No Holiday,Yes,3
01/02/2019,1,-17.0,79,2.81,0,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes,4
01/02/2019,2,-15.7,78,2.62,0,-18.6,0.0,0.1,0.07,Winter,No Holiday,Yes,2
01/02/2019,3,-14.8,79,2.91,0,-17.5,0.0,0.1,0.07,Winter,No Holiday,Yes,1
01/02/2019,4,-14.2,80,2.61,0,-17.0,0.0,0.1,0.07,Winter,No Holiday,Yes,3
01/02/2019,5,-13.9,80,2.18,0,-16.5,0.0,0.1,0.07,Winter,No Holiday,Yes,18
01/02/2019,6,-13.7,81,2.12,0,-16.2,0.0,0.1,0.0,Winter,No Holiday,Yes,50
01/02/2019,7,-14.1,80,2.06,0,-16.8,0.0,0.0,0.0,Winter,No Holiday,Yes,89
01/02/2019,8,-14.8,79,1.53,0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,156
01/02/2019,9,-14.2,78,1.36,0,-17.2,0.0,0.0,0.0,Winter,No Holiday,Yes,108
01/02/2019,10,-12.6,78,1.84,0,-15.6,0.0,0.0,0.0,Winter,No Holiday,Yes,38
01/02/2019,11,-11.6,80,2.33,0,-14.2,0.0,0.0,0.0,Winter,No Holiday,Yes,54
01/02/2019,12,-10.6,83,3.05,0,-13.0,0.0,0.0,0.0,Winter,No Holiday,Yes,72
01/02/2019,13,-10.1,80,3.32,0,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,84
01/02/2019,14,-9.9,78,3.08,0,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,78
01/02/2019,15,-9.6,76,2.81,0,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,131
01/02/2019,16,-9.6,77,2.45,0,-12.8,0.0,0.0,0.0,Winter,No Holiday,Yes,249
01/02/2019,17,-10.9,82,2.39,0,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,303
01/02/2019,18,-11.4,82,3.68,0,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes,153
01/02/2019,19,-9.9,81,4.41,0,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,78
01/02/2019,20,-10.9,84,4.5,0,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,43
01/02/2019,21,-11.4,84,4.7,0,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,23
01/02/2019,22,-11.6,85,5.05,0,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,35
01/02/2019,23,-11.5,84,5.12,0,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,15
01/02/2020,0,0.4,87,2.63,0,-1.5,0.0,0.1,0.07,Winter,No Holiday,Yes,47
01/02/2020,1,0.3,88,2.86,0,-1.4,0.0,0.3,0.21,Winter,No Holiday,Yes,24
01/02/2020,2,-0.1,89,2.86,0,-1.6,0.0,0.3,0.21,Winter,No Holiday,Yes,15
01/02/2020,3,-0.3,91,3.18,0,-1.5,0.0,0.1,0.07,Winter,No Holiday,Yes,13
01/02/2020,4,-0.4,93,3.76,0,-1.5,0.0,0.0,0.0,Winter,No Holiday,Yes,8
01/02/2020,5,-0.2,92,4.31,0,-1.4,0.0,0.0,0.0,Winter,No Holiday,Yes,15
01/02/2020,6,-0.2,93,4.31,0,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,29
01/02/2020,7,0.6,96,4.05,0,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,63
01/02/2020,8,0.8,96,4.0,0,0.3,0.0,0.1,0.0,Winter,No Holiday,Yes,143
01/02/2020,9,1.0,96,4.55,0,0.5,0.0,0.1,0.0,Winter,No Holiday,Yes,185
01/02/2020,10,1.3,95,5.19,0,0.6,0.0,0.1,0.0,Winter,No Holiday,Yes,251
01/02/2020,11,2.0,89,6.02,0,0.4,0.0,0.0,0.0,Winter,No Holiday,Yes,300
01/02/2020,12,3.0,82,6.74,0,0.3,0.0,0.0,0.0,Winter,No Holiday,Yes,311
01/02/2020,13,3.6,75,7.37,0,-0.4,0.0,0.0,0.0,Winter,No Holiday,Yes,284
01/02/2020,14,3.6,74,7.51,0,-0.6,0.0,0.0,0.0,Winter,No Holiday,Yes,271
01/02/2020,15,3.5,74,8.46,0,-0.7,0.0,0.0,0.0,Winter,No Holiday,Yes,219
01/02/2020,16,2.8,79,8.15,0,-0.6,0.0,0.0,0.0,Winter,No Holiday,Yes,209
01/02/2020,17,2.2,81,8.32,0,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,199
01/02/2020,18,1.7,82,7.75,0,-1.0,0.0,0.0,0.0,Winter,No Holiday,Yes,169
01/02/2020,19,0.7,84,6.77,0,-1.8,0.0,0.0,0.0,Winter,No Holiday,Yes,135
01/02/2020,20,0.4,85,6.71,0,-1.8,0.0,0.0,0.0,Winter,No Holiday,Yes,113
01/02/2020,21,0.2,86,6.59,0,-1.8,0.0,0.0,0.0,Winter,No Holiday,Yes,86
01/02/2020,22,0.5,86,6.44,0,-1.5,0.0,0.0,0.0,Winter,No Holiday,Yes,62
01/02/2020,23,0.7,84,7.18,0,-1.6,0.0,0.0,0.0,Winter,No Holiday,Yes,53
01/02/2021,0,0.1,74,7.76,0,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes,1
01/02/2021,1,0.2,79,8.15,0,-3.0,0.0,0.0,0.0,Winter,No Holiday,Yes,4
01/02/2021,3,-0.4,80,7.72,0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2
01/02/2021,4,-0.6,82,7.71,0,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,3
01/02/2021,5,-0.8,82,8.0,0,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,31
01/02/2021,6,-1.1,82,8.4,0,-3.8,0.0,0.0,0.0,Winter,No Holiday,Yes,52
01/02/2021,7,-0.8,83,8.41,0,-3.2,0.0,0.0,0.0,Winter,No Holiday,Yes,95
01/02/2021,8,-1.2,81,8.86,0,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,98
01/02/2021,9,-1.4,81,8.57,0,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,53
01/02/2021,10,-1.3,80,8.18,0,-4.3,0.0,0.0,0.0,Winter,No Holiday,Yes,67
01/02/2021,11,-1.2,78,8.17,0,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,90
01/02/2021,12,-1.0,79,8.5,0,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,82
01/02/2021,13,-0.9,81,8.86,0,-3.8,0.0,0.0,0.0,Winter,No Holiday,Yes,102
01/02/2021,14,-1.0,80,8.63,0,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,99
01/02/2021,15,-1.1,80,8.76,0,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,152
01/02/2021,16,-1.0,77,7.71,0,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,197
01/02/2021,17,-1.1,76,6.53,0,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes,214
01/02/2021,18,-1.9,76,5.75,0,-5.6,0.0,0.0,0.0,Winter,No Holiday,Yes,176
01/02/2021,19,-2.0,81,5.04,0,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes,99
01/02/2021,20,-4.2,85,4.84,0,-6.3,0.0,0.0,0.0,Winter,No Holiday,Yes,71
01/02/2021,21,-4.4,82,6.17,0,-7.0,0.0,0.0,0.0,Winter,No Holiday,Yes,46
01/02/2021,22,-4.7,80,5.94,0,-7.6,0.0,0.0,0.0,Winter,No Holiday,Yes,43
01/02/2021,23,-4.2,80,6.05,0,-7.2,0.0,0.0,0.0,Winter,No Holiday,Yes,20
01/02/2022,0,-1.9,73,6.77,0,-6.1,0.0,0.0,0.0,Winter,No Holiday,Yes,15
01/02/2022,1,-1.8,73,7.0,0,-5.9,0.0,0.0,0.0,Winter,No Holiday,Yes,18
01/02/2022,2,-1.6,72,7.06,0,-5.9,0.0,0.0,0.0,Winter,No Holiday,Yes,12
01/02/2022,3,-1.1,71,7.32,0,-5.7,0.0,0.0,0.0,Winter,No Holiday,Yes,12
01/02/2022,4,-0.9,71,7.5,0,-5.4,0.0,0.0,0.0,Winter,No Holiday,Yes,13
01/02/2022,5,-0.3,71,7.92,0,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,99
01/02/2022,6,0.2,71,8.02,0,-4.4,0.0,0.0,0.0,Winter,No Holiday,Yes,187
01/02/2022,7,1.9,68,8.27,0,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,417
01/02/2022,8,2.1,71,7.84,0,-2.5,0.0,0.0,0.0,Winter,No Holiday,Yes,473
01/02/2022,9,2.3,75,8.0,0,-1.6,0.0,0.0,0.0,Winter,No Holiday,Yes,266
01/02/2022,10,3.0,77,7.95,0,-0.6,0.0,0.0,0.0,Winter,No Holiday,Yes,210
01/02/2022,11,4.0,78,7.7,0,0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,285
01/02/2022,12,5.1,77,7.83,0,1.4,0.0,0.0,0.0,Winter,No Holiday,Yes,330
01/02/2022,13,6.1,77,6.96,0,2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,197
01/02/2022,14,6.0,81,6.16,0,3.0,0.0,0.0,0.0,Winter,No Holiday,Yes,173
01/02/2022,15,6.0,84,5.72,0,3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,245
01/02/2022,16,5.8,88,5.11,0,4.0,0.0,0.4,0.0,Winter,No Holiday,Yes,341
01/02/2022,17,5.2,92,5.01,0,3.9,0.0,0.8,0.0,Winter,No Holiday,Yes,418
