DATE,HOUR,TEMPERATURE,HUMIDITY,WIND_SPEED,VISIBILITY,DEW_POINT_TEMPERATURE,SOLAR_RADIATION,RAINFALL,SNOWFALL,SEASONS,HOLIDAY,FUNCTIONING_DAY,RENTED_BIKE_COUNT
04/01/2015,0,3.0,93,1.67,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,182
04/01/2015,1,3.0,93,1.39,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,138
04/01/2015,2,2.5,96,0.0,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,134
04/01/2015,3,2.0,100,0.0,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,72
04/01/2015,4,2.0,93,1.81,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,47
04/01/2015,5,2.0,93,1.11,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,46
04/01/2015,6,1.0,100,1.94,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,51
04/01/2015,7,1.0,100,1.94,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,75
04/01/2015,8,1.5,96,2.22,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,131
04/01/2015,9,2.0,100,2.5,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,301
04/01/2015,10,3.0,93,3.33,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,528
04/01/2015,11,2.0,100,3.33,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,727
04/01/2015,12,2.0,96,3.61,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,862
04/01/2015,13,3.0,87,4.17,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,916
04/01/2015,14,2.5,90,2.22,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,1039
04/01/2015,15,2.0,93,3.06,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,869
04/01/2015,16,3.0,93,3.33,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,737
04/01/2015,17,3.0,93,3.06,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,594
04/01/2015,18,3.0,93,1.81,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,522
04/01/2015,19,3.0,93,1.94,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,379
04/01/2015,20,3.0,93,1.11,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,328
04/01/2015,21,3.0,93,1.39,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,221
04/01/2015,22,3.0,93,1.67,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,178
04/01/2015,23,4.0,87,1.39,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,157
05/01/2015,0,4.0,93,1.67,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,83
05/01/2015,1,4.0,93,1.39,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,67
05/01/2015,2,5.0,87,1.67,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,32
05/01/2015,3,6.0,84,2.08,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,22
05/01/2015,4,6.5,84,2.22,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,38
05/01/2015,5,6.0,87,1.39,0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,81
