DATE,HOUR,TEMPERATURE,HUMIDITY,WIND_SPEED,VISIBILITY,DEW_POINT_TEMPERATURE,SOLAR_RADIATION,RAINFALL,SNOWFALL,SEASONS,HOLIDAY,FUNCTIONING_DAY,RENTED_BIKE_COUNT
01/01/2014,0,-3.6,44,4.18,0,-14.2,0.0,0.0,0.0,Winter,No Holiday,Yes,115
01/01/2014,1,-4.0,43,3.91,0,-14.8,0.0,0.0,0.0,Winter,No Holiday,Yes,204
01/01/2014,2,-4.4,45,3.31,0,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,161
01/01/2014,3,-4.6,46,3.0,0,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,144
01/01/2014,4,-4.7,46,3.04,0,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,61
01/01/2014,5,-4.9,47,2.91,0,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,41
01/01/2014,6,-4.9,48,2.56,0,-14.2,0.0,0.0,0.0,Winter,No Holiday,Yes,38
01/01/2014,7,-4.9,50,2.42,0,-13.9,0.0,0.0,0.0,Winter,No Holiday,Yes,58
01/01/2014,8,-5.0,51,2.25,0,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,91
01/01/2014,9,-4.8,51,2.1,0,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,129
01/01/2014,10,-3.5,46,1.71,0,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,191
01/01/2014,11,-2.3,43,2.2,0,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,309
01/01/2014,12,-1.2,42,2.72,0,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,424
01/01/2014,13,-0.2,41,2.84,0,-11.8,0.0,0.0,0.0,Winter,No Holiday,Yes,468
01/01/2014,14,0.7,43,2.89,0,-10.6,0.0,0.0,0.0,Winter,No Holiday,Yes,552
01/01/2014,15,1.4,45,2.72,0,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,542
01/01/2014,16,1.5,45,2.02,0,-9.3,0.0,0.0,0.0,Winter,No Holiday,Yes,620
01/01/2014,17,1.0,49,0.9,0,-8.6,0.0,0.0,0.0,Winter,No Holiday,Yes,480
01/01/2014,18,-0.2,65,1.2,0,-6.0,0.0,0.0,0.0,Winter,No Holiday,Yes,382
01/01/2014,19,-1.5,70,1.72,0,-6.3,0.0,0.0,0.0,Winter,No Holiday,Yes,299
01/01/2014,20,-1.8,70,2.28,0,-6.6,0.0,0.0,0.0,Winter,No Holiday,Yes,261
01/01/2014,21,-2.0,72,2.76,0,-6.3,0.0,0.0,0.0,Winter,No Holiday,Yes,223
01/01/2014,22,-1.5,71,3.18,0,-6.0,0.0,0.0,0.0,Winter,No Holiday,Yes,157
01/01/2014,23,-1.5,74,3.32,0,-5.6,0.0,0.0,0.0,Winter,No Holiday,Yes,109
01/01/2015,0,-3.7,50,3.61,0,-12.7,0.0,0.0,0.0,Winter,No Holiday,Yes,114
01/01/2015,1,-3.8,49,3.92,0,-13.0,0.0,0.0,0.0,Winter,No Holiday,Yes,152
01/01/2015,2,-3.9,49,3.92,0,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,146
01/01/2015,3,-4.0,52,4.08,0,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,83
01/01/2015,4,-4.0,52,4.33,0,-12.4,0.0,0.0,0.0,Winter,No Holiday,Yes,40
01/01/2015,5,-4.0,50,4.48,0,-12.8,0.0,0.0,0.0,Winter,No Holiday,Yes,28
01/01/2015,6,-4.1,48,4.5,0,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,36
01/01/2015,7,-4.2,46,3.75,0,-14.1,0.0,0.0,0.0,Winter,No Holiday,Yes,52
