DATE,HOUR,TEMPERATURE,HUMIDITY,WIND_SPEED,VISIBILITY,DEW_POINT_TEMPERATURE,SOLAR_RADIATION,RAINFALL,SNOWFALL,SEASONS,HOLIDAY,FUNCTIONING_DAY,RENTED_BIKE_COUNT
01/01/2023,0,14.6,51,8.04,0,4.8,0.0,0.0,0.0,Winter,No Holiday,Yes,19
01/01/2023,4,14.9,53,6.13,0,5.4,0.0,0.0,0.0,Winter,No Holiday,Yes,26
01/01/2023,5,14.4,56,5.72,0,5.8,0.0,0.0,0.0,Winter,No Holiday,Yes,15
01/01/2023,6,14.2,59,5.47,0,6.4,0.0,0.0,0.0,Winter,No Holiday,Yes,10
01/01/2023,7,13.8,62,5.73,0,6.6,0.0,0.0,0.0,Winter,No Holiday,Yes,7
01/01/2023,8,13.6,64,5.61,0,7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,8
01/01/2023,9,13.2,69,5.72,0,7.6,0.0,0.0,0.0,Winter,No Holiday,Yes,10
01/01/2023,10,12.6,75,5.5,0,8.2,0.0,0.2,0.0,Winter,No Holiday,Yes,16
01/01/2023,11,12.6,75,4.7,0,8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,21
01/01/2023,12,12.9,74,4.52,0,8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,29
01/01/2023,13,12.7,76,4.74,0,8.6,0.0,0.0,0.0,Winter,No Holiday,Yes,30
01/01/2023,14,11.9,88,3.9,0,10.1,0.0,0.0,0.0,Winter,No Holiday,Yes,25
01/01/2023,15,11.9,91,3.96,0,10.4,0.0,0.8,0.0,Winter,No Holiday,Yes,25
01/01/2023,16,11.7,92,3.36,0,10.4,0.0,1.3,0.0,Winter,No Holiday,Yes,28
01/01/2023,17,12.1,90,4.16,0,10.4,0.0,0.2,0.0,Winter,No Holiday,Yes,32
01/01/2023,18,12.0,89,4.47,0,10.3,0.0,0.6,0.0,Winter,No Holiday,Yes,33
01/01/2023,19,11.9,88,4.12,0,10.0,0.0,0.7,0.0,Winter,No Holiday,Yes,32
01/01/2023,20,12.2,85,4.32,0,9.8,0.0,0.0,0.0,Winter,No Holiday,Yes,26
01/01/2023,21,12.6,83,3.81,0,9.8,0.0,0.0,0.0,Winter,No Holiday,Yes,21
01/01/2023,22,14.1,75,5.31,0,9.6,0.0,0.0,0.0,Winter,No Holiday,Yes,18
01/01/2023,23,15.0,68,6.26,0,9.1,0.0,0.0,0.0,Winter,No Holiday,Yes,13
01/01/2024,0,7.4,77,7.41,0,3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,21
01/01/2024,1,7.3,76,7.12,0,3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,29
01/01/2024,2,7.1,75,7.18,0,3.0,0.0,0.0,0.0,Winter,No Holiday,Yes,32
01/01/2024,3,7.1,71,6.82,0,2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,32
01/01/2024,4,7.1,71,6.94,0,2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,24
01/01/2024,5,6.8,72,6.8,0,2.2,0.0,0.0,0.0,Winter,No Holiday,Yes,17
