DATE,HOUR,TEMPERATURE,HUMIDITY,WIND_SPEED,VISIBILITY,DEW_POINT_TEMPERATURE,SOLAR_RADIATION,RAINFALL,SNOWFALL,SEASONS,HOLIDAY,FUNCTIONING_DAY,RENTED_BIKE_COUNT
01/01/2022,0,-9.1,50,1.72,2000,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes,575
01/01/2022,1,-9.1,51,1.14,2000,-17.5,0.0,0.0,0.0,Winter,No Holiday,Yes,466
01/01/2022,2,-9.1,52,0.89,2000,-17.2,0.0,0.0,0.0,Winter,No Holiday,Yes,328
01/01/2022,3,-9.1,53,1.08,2000,-17.0,0.0,0.0,0.0,Winter,No Holiday,Yes,250
01/01/2022,4,-9.1,53,1.08,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,246
01/01/2022,5,-9.0,53,0.67,2000,-16.8,0.0,0.0,0.0,Winter,No Holiday,Yes,288
01/01/2022,6,-8.8,52,0.61,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,488
01/01/2022,7,-8.7,51,0.2,2000,-17.0,0.0,0.0,0.0,Winter,No Holiday,Yes,625
01/01/2022,8,-8.6,49,0.7,2000,-17.4,0.0,0.0,0.0,Winter,No Holiday,Yes,699
01/01/2022,9,-9.4,56,2.1,2000,-16.6,0.26,0.0,0.0,Winter,No Holiday,Yes,923
01/01/2022,10,-7.2,45,1.91,2000,-17.0,0.79,0.0,0.0,Winter,No Holiday,Yes,1069
01/01/2022,11,-4.9,38,1.22,2000,-17.0,1.26,0.0,0.0,Winter,No Holiday,Yes,1348
01/01/2022,12,-3.0,35,0.61,2000,-16.2,1.59,0.0,0.0,Winter,No Holiday,Yes,1680
01/01/2022,13,-1.6,35,0.42,2000,-15.0,1.73,0.0,0.0,Winter,No Holiday,Yes,1928
01/01/2022,14,-0.6,35,1.02,2000,-14.1,1.64,0.0,0.0,Winter,No Holiday,Yes,2200
01/01/2022,15,-0.1,36,1.24,2000,-13.4,1.35,0.0,0.0,Winter,No Holiday,Yes,2559
01/01/2022,16,-0.2,37,1.65,2000,-13.1,0.89,0.0,0.0,Winter,No Holiday,Yes,2570
01/01/2022,17,-3.2,48,2.4,2000,-12.8,0.35,0.0,0.0,Winter,No Holiday,Yes,2363
01/01/2022,18,-4.8,56,2.44,2000,-12.4,0.01,0.0,0.0,Winter,No Holiday,Yes,1947
01/01/2022,19,-5.6,63,2.21,2000,-11.4,0.0,0.0,0.0,Winter,No Holiday,Yes,1545
01/01/2022,20,-5.6,68,1.9,2000,-10.6,0.0,0.0,0.0,Winter,No Holiday,Yes,1411
01/01/2022,21,-6.3,66,2.2,2000,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes,1701
01/01/2022,22,-4.0,56,2.14,2000,-11.5,0.0,0.0,0.0,Winter,No Holiday,Yes,1180
01/01/2022,23,-3.7,54,2.55,2000,-11.7,0.0,0.0,0.0,Winter,No Holiday,Yes,792
01/01/2023,0,-1.9,80,2.85,2000,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes,1567
01/01/2023,1,-1.1,81,3.2,2000,-3.9,0.0,0.0,0.0,Winter,No Holiday,Yes,1653
01/01/2023,2,-0.2,77,3.13,2000,-3.8,0.0,0.0,0.0,Winter,No Holiday,Yes,1150
01/01/2023,3,-2.2,86,2.06,2000,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,824
01/01/2023,4,-3.9,89,2.05,2000,-5.5,0.0,0.0,0.0,Winter,No Holiday,Yes,653
01/01/2023,5,-4.0,86,1.72,2000,-5.9,0.0,0.0,0.0,Winter,No Holiday,Yes,549
01/01/2023,6,-4.3,86,1.58,2000,-6.3,0.0,0.0,0.0,Winter,No Holiday,Yes,798
01/01/2023,7,-5.2,87,1.61,2000,-7.0,0.0,0.0,0.0,Winter,No Holiday,Yes,1042
01/01/2023,8,-5.3,87,1.92,2000,-7.2,0.0,0.0,0.0,Winter,No Holiday,Yes,1187
01/01/2023,9,-4.4,80,2.1,2000,-7.3,0.26,0.0,0.0,Winter,No Holiday,Yes,1315
01/01/2023,10,-2.3,68,1.97,2000,-7.5,0.8,0.0,0.0,Winter,No Holiday,Yes,1592
01/01/2023,11,-0.7,57,2.68,2000,-8.2,1.3,0.0,0.0,Winter,No Holiday,Yes,1683
01/01/2023,12,0.7,41,3.67,2000,-11.0,1.63,0.0,0.0,Winter,No Holiday,Yes,2047
01/01/2023,13,1.5,32,4.61,2000,-13.6,1.76,0.0,0.0,Winter,No Holiday,Yes,2427
01/01/2023,14,1.7,28,4.97,2000,-14.8,1.67,0.0,0.0,Winter,No Holiday,Yes,2516
01/01/2023,15,1.2,26,5.33,2000,-16.2,1.37,0.0,0.0,Winter,No Holiday,Yes,2814
01/01/2023,16,0.3,31,4.85,2000,-14.9,0.9,0.0,0.0,Winter,No Holiday,Yes,2797
01/01/2023,17,-1.4,36,3.86,2000,-14.4,0.35,0.0,0.0,Winter,No Holiday,Yes,2545
01/01/2023,18,-3.3,41,3.13,2000,-14.6,0.01,0.0,0.0,Winter,No Holiday,Yes,2056
01/01/2023,19,-4.4,46,3.4,2000,-14.2,0.0,0.0,0.0,Winter,No Holiday,Yes,1699
01/01/2023,20,-5.2,49,3.96,2000,-14.3,0.0,0.0,0.0,Winter,No Holiday,Yes,1516
01/01/2023,21,-4.9,53,4.34,2000,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,1412
