DATE,HOUR,RENTED_BIKE_COUNT,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,snowfall,visibility,dew_point_2m
01/01/2019,0,41,0.9,93,5.52,0.1,0.0,,0.0
01/01/2019,1,48,1.2,91,4.9,0.0,0.0,,-0.1
01/01/2019,2,37,1.1,90,4.62,0.0,0.0,,-0.3
01/01/2019,3,17,0.9,89,5.32,0.0,0.0,,-0.7
01/01/2019,4,10,0.4,87,5.61,0.0,0.0,,-1.5
01/01/2019,5,7,-0.2,86,5.82,0.0,0.0,,-2.2
01/01/2019,6,13,-0.6,85,6.61,0.0,0.0,,-2.9
01/01/2019,7,21,-0.3,84,5.81,0.1,0.07,,-2.8
01/01/2019,8,29,-0.6,83,5.81,0.1,0.07,,-3.0
01/01/2019,9,61,-0.8,83,5.71,0.1,0.07,,-3.2
01/01/2019,10,76,-0.7,81,5.51,0.1,0.07,,-3.5
01/01/2019,11,88,-0.7,81,5.9,0.0,0.07,,-3.5
01/01/2019,12,102,-0.9,81,6.07,0.1,0.07,,-3.7
01/01/2019,13,93,-1.1,82,5.68,0.1,0.07,,-3.9
01/01/2019,14,74,-1.0,80,5.87,0.1,0.07,,-4.0
01/01/2019,15,116,-1.1,79,5.83,0.1,0.07,,-4.2
01/01/2019,16,132,-1.2,79,5.3,0.0,0.0,,-4.3
01/01/2019,17,84,-1.3,79,4.61,0.0,0.0,,-4.4
01/01/2019,18,83,-1.5,83,3.76,0.0,0.0,,-4.1
01/01/2019,19,62,-2.5,86,4.05,0.0,0.0,,-4.4
01/01/2019,20,43,-2.6,85,3.77,0.0,0.0,,-4.7
01/01/2019,21,27,-2.7,85,3.14,0.0,0.0,,-4.8
01/01/2019,22,32,-2.7,84,2.83,0.0,0.0,,-4.9
01/01/2019,23,16,-2.7,84,2.55,0.0,0.0,,-5.1
01/01/2020,0,47,-4.6,84,4.12,0.0,0.0,,-6.9
01/01/2020,1,66,-4.9,85,3.95,0.0,0.0,,-7.0
01/01/2020,2,54,-5.2,86,3.73,0.0,0.0,,-7.2
01/01/2020,3,13,-5.5,87,3.55,0.0,0.0,,-7.3
01/01/2020,4,10,-5.8,88,3.58,0.0,0.0,,-7.4
01/01/2020,5,10,-6.0,87,3.86,0.0,0.0,,-7.8
01/01/2020,6,23,-6.1,84,4.36,0.0,0.0,,-8.3
01/01/2020,7,16,-5.8,81,4.34,0.0,0.0,,-8.4
01/01/2020,8,34,-5.8,80,4.3,0.0,0.0,,-8.6
01/01/2020,9,61,-5.1,80,4.69,0.0,0.0,,-8.0
01/01/2020,10,77,-2.9,76,5.08,0.0,0.0,,-6.6
