DATE,HOUR,RENTED_BIKE_COUNT
01/01/2019,0,41
01/01/2019,1,48
01/01/2019,2,37
01/01/2019,3,17
01/01/2019,4,10
01/01/2019,5,7
01/01/2019,6,13
01/01/2019,7,21
01/01/2019,8,29
01/01/2019,9,61
01/01/2019,10,76
01/01/2019,11,88
01/01/2019,12,102
01/01/2019,13,93
01/01/2019,14,74
01/01/2019,15,116
01/01/2019,16,132
01/01/2019,17,84
01/01/2019,18,83
01/01/2019,19,62
01/01/2019,20,43
01/01/2019,21,27
01/01/2019,22,32
01/01/2019,23,16
01/01/2020,0,47
01/01/2020,1,66
01/01/2020,2,54
01/01/2020,3,13
01/01/2020,4,10
01/01/2020,5,10
01/01/2020,6,23
01/01/2020,7,16
01/01/2020,8,34
01/01/2020,9,61
01/01/2020,10,77
01/01/2020,11,139
01/01/2020,12,186
01/01/2020,13,207
01/01/2020,14,222
01/01/2020,15,220
01/01/2020,16,192
01/01/2020,17,163
01/01/2020,18,135
01/01/2020,19,82
01/01/2020,20,69
01/01/2020,21,47
01/01/2020,22,44
01/01/2020,23,24
01/01/2021,0,35
01/01/2021,1,48
01/01/2021,2,57
01/01/2021,3,17
01/01/2021,4,14
01/01/2021,5,29
01/01/2021,6,48
01/01/2021,7,51
01/01/2021,8,49
01/01/2021,9,46
01/01/2021,10,83
01/01/2021,11,75
01/01/2021,12,55
01/01/2021,13,65
01/01/2021,14,85
01/01/2021,15,71
01/01/2021,16,47
01/01/2021,17,53
01/01/2021,18,34
01/01/2021,19,35
01/01/2021,20,18
01/01/2021,21,22
01/01/2021,22,17
01/01/2021,23,14
01/01/2022,0,220
01/01/2022,1,328
01/01/2022,2,259
01/01/2022,3,85
01/01/2022,4,35
01/01/2022,5,20
01/01/2022,6,42
01/01/2022,7,90
01/01/2022,8,93
01/01/2022,9,131
01/01/2022,10,171
01/01/2022,11,221
01/01/2022,12,236
01/01/2022,13,158
01/01/2022,14,93
01/01/2022,15,68
01/01/2022,16,55
01/01/2022,17,55
01/01/2022,18,48
01/01/2022,19,39
01/01/2022,20,32
01/01/2022,21,32
01/01/2022,22,24
01/01/2022,23,28
01/02/2019,0,3
01/02/2019,1,4
01/02/2019,2,2
01/02/2019,3,1
01/02/2019,4,3
01/02/2019,5,18
01/02/2019,6,50
01/02/2019,7,89
01/02/2019,8,156
01/02/2019,9,108
01/02/2019,10,38
01/02/2019,11,54
01/02/2019,12,72
01/02/2019,13,84
01/02/2019,14,78
01/02/2019,15,131
01/02/2019,16,249
01/02/2019,17,303
01/02/2019,18,153
01/02/2019,19,78
01/02/2019,20,43
01/02/2019,21,23
01/02/2019,22,35
01/02/2019,23,15
01/02/2020,0,47
01/02/2020,1,24
01/02/2020,2,15
01/02/2020,3,13
01/02/2020,4,8
01/02/2020,5,15
01/02/2020,6,29
01/02/2020,7,63
01/02/2020,8,143
01/02/2020,9,185
01/02/2020,10,251
01/02/2020,11,300
01/02/2020,12,311
01/02/2020,13,284
01/02/2020,14,271
01/02/2020,15,219
01/02/2020,16,209
01/02/2020,17,199
01/02/2020,18,169
01/02/2020,19,135
01/02/2020,20,113
01/02/2020,21,86
01/02/2020,22,62
01/02/2020,23,53
01/02/2021,0,1
01/02/2021,1,4
01/02/2021,3,2
01/02/2021,4,3
01/02/2021,5,31
01/02/2021,6,52
01/02/2021,7,95
01/02/2021,8,98
01/02/2021,9,53
01/02/2021,10,67
01/02/2021,11,90
01/02/2021,12,82
01/02/2021,13,102
01/02/2021,14,99
01/02/2021,15,152
01/02/2021,16,197
01/02/2021,17,214
01/02/2021,18,176
01/02/2021,19,99
01/02/2021,20,71
01/02/2021,21,46
01/02/2021,22,43
01/02/2021,23,20
01/02/2022,0,15
01/02/2022,1,18
01/02/2022,2,12
01/02/2022,3,12
01/02/2022,4,13
01/02/2022,5,99
01/02/2022,6,187
01/02/2022,7,417
01/02/2022,8,473
01/02/2022,9,266
01/02/2022,10,210
01/02/2022,11,285
01/02/2022,12,330
01/02/2022,13,197
01/02/2022,14,173
01/02/2022,15,245
01/02/2022,16,341
01/02/2022,17,418
01/02/2022,18,311
01/02/2022,19,263
01/02/2022,20,150
01/02/2022,21,126
01/02/2022,22,94
01/02/2022,23,30
01/03/2019,0,26
01/03/2019,1,12
01/03/2019,2,7
01/03/2019,3,8
01/03/2019,4,16
01/03/2019,5,55
01/03/2019,6,214
01/03/2019,7,467
01/03/2019,8,621
01/03/2019,9,230
01/03/2019,10,168
01/03/2019,11,183
01/03/2019,12,185
01/03/2019,13,202
01/03/2019,14,200
01/03/2019,15,296
01/03/2019,16,593
01/03/2019,17,707
01/03/2019,18,320
01/03/2019,19,189
01/03/2019,20,105
01/03/2019,21,73
01/03/2019,22,72
01/03/2019,23,40
01/03/2020,0,40
01/03/2020,1,34
01/03/2020,2,14
01/03/2020,3,17
01/03/2020,4,5
01/03/2020,5,12
01/03/2020,6,28
01/03/2020,7,55
01/03/2020,8,129
01/03/2020,9,214
01/03/2020,10,418
01/03/2020,11,567
01/03/2020,12,734
01/03/2020,13,824
01/03/2020,14,978
01/03/2020,15,1051
01/03/2020,16,841
01/03/2020,17,559
01/03/2020,18,348
01/03/2020,19,198
01/03/2020,20,158
01/03/2020,21,85
01/03/2020,22,66
01/03/2020,23,38
01/03/2021,0,11
01/03/2021,1,6
01/03/2021,2,6
01/03/2021,3,4
01/03/2021,4,9
01/03/2021,5,43
01/03/2021,6,130
01/03/2021,7,241
01/03/2021,8,250
01/03/2021,9,144
01/03/2021,10,128
01/03/2021,11,179
01/03/2021,12,196
01/03/2021,13,201
01/03/2021,14,183
01/03/2021,15,252
01/03/2021,16,348
01/03/2021,17,415
01/03/2021,18,287
01/03/2021,19,173
01/03/2021,20,118
01/03/2021,21,66
01/03/2021,22,50
01/03/2021,23,27
01/03/2022,0,41
01/03/2022,1,23
01/03/2022,2,17
01/03/2022,3,13
01/03/2022,4,20
01/03/2022,5,111
01/03/2022,6,303
01/03/2022,7,622
01/03/2022,8,707
01/03/2022,9,363
01/03/2022,10,287
01/03/2022,11,351
01/03/2022,12,451
01/03/2022,13,463
01/03/2022,14,427
01/03/2022,15,603
01/03/2022,16,868
01/03/2022,17,1099
01/03/2022,18,714
01/03/2022,19,459
01/03/2022,20,296
01/03/2022,21,235
01/03/2022,22,168
01/03/2022,23,86
01/04/2020,0,11
01/04/2020,1,2
01/04/2020,2,2
01/04/2020,3,4
01/04/2020,4,4
01/04/2020,5,19
01/04/2020,6,73
01/04/2020,7,89
01/04/2020,8,116
01/04/2020,9,66
01/04/2020,10,77
01/04/2020,11,108
01/04/2020,12,140
01/04/2020,13,133
01/04/2020,14,161
01/04/2020,15,213
01/04/2020,16,254
01/04/2020,17,335
01/04/2020,18,249
01/04/2020,19,120
01/04/2020,20,63
01/04/2020,21,24
01/04/2020,22,14
01/04/2020,23,17
01/04/2021,0,42
01/04/2021,1,14
01/04/2021,2,9
01/04/2021,3,1
01/04/2021,4,13
01/04/2021,5,61
01/04/2021,6,167
01/04/2021,7,273
01/04/2021,8,315
01/04/2021,9,245
01/04/2021,10,235
01/04/2021,11,256
01/04/2021,12,356
01/04/2021,13,318
01/04/2021,14,312
01/04/2021,15,403
01/04/2021,16,481
01/04/2021,17,622
01/04/2021,18,532
01/04/2021,19,396
01/04/2021,20,248
01/04/2021,21,125
01/04/2021,22,127
01/04/2021,23,84
01/04/2022,0,69
01/04/2022,1,38
01/04/2022,2,25
01/04/2022,3,22
01/04/2022,4,23
01/04/2022,5,103
01/04/2022,6,245
01/04/2022,7,482
01/04/2022,8,578
01/04/2022,9,439
01/04/2022,10,362
01/04/2022,11,520
01/04/2022,12,570
01/04/2022,13,712
01/04/2022,14,736
01/04/2022,15,833
01/04/2022,16,1006
01/04/2022,17,1177
01/04/2022,18,956
01/04/2022,19,602
01/04/2022,20,415
01/04/2022,21,301
01/04/2022,22,227
01/04/2022,23,269
01/05/2020,0,22
01/05/2020,1,10
01/05/2020,2,8
01/05/2020,3,7
01/05/2020,4,4
01/05/2020,5,31
01/05/2020,6,100
01/05/2020,7,135
01/05/2020,8,169
01/05/2020,9,151
01/05/2020,10,183
01/05/2020,11,232
01/05/2020,12,383
01/05/2020,13,391
01/05/2020,14,446
01/05/2020,15,461
01/05/2020,16,455
01/05/2020,17,512
01/05/2020,18,436
01/05/2020,19,262
01/05/2020,20,162
01/05/2020,21,70
01/05/2020,22,79
01/05/2020,23,42
01/05/2021,0,255
01/05/2021,1,252
01/05/2021,2,90
01/05/2021,3,53
01/05/2021,4,50
01/05/2021,5,58
01/05/2021,6,111
01/05/2021,7,218
01/05/2021,8,453
01/05/2021,9,769
01/05/2021,10,1173
01/05/2021,11,1455
01/05/2021,12,1718
01/05/2021,13,1920
01/05/2021,14,2259
01/05/2021,15,2142
01/05/2021,16,2098
01/05/2021,17,1973
01/05/2021,18,1790
01/05/2021,19,1512
01/05/2021,20,1139
01/05/2021,21,1074
01/05/2021,22,981
01/05/2021,23,858
01/05/2022,0,356
01/05/2022,1,245
01/05/2022,2,253
01/05/2022,3,107
01/05/2022,4,63
01/05/2022,5,79
01/05/2022,6,118
01/05/2022,7,214
01/05/2022,8,338
01/05/2022,9,551
01/05/2022,10,848
01/05/2022,11,1002
01/05/2022,12,1046
01/05/2022,13,1068
01/05/2022,14,957
01/05/2022,15,875
01/05/2022,16,911
01/05/2022,17,826
01/05/2022,18,715
01/05/2022,19,639
01/05/2022,20,432
01/05/2022,21,357
01/05/2022,22,229
01/05/2022,23,167
01/06/2021,0,161
01/06/2021,1,69
01/06/2021,2,25
01/06/2021,3,28
01/06/2021,4,35
01/06/2021,5,162
01/06/2021,6,443
01/06/2021,7,806
01/06/2021,8,933
01/06/2021,9,669
01/06/2021,10,633
01/06/2021,11,785
01/06/2021,12,988
01/06/2021,13,995
01/06/2021,14,1075
01/06/2021,15,1198
01/06/2021,16,1721
01/06/2021,17,2451
01/06/2021,18,2134
01/06/2021,19,1490
01/06/2021,20,1002
01/06/2021,21,702
01/06/2021,22,694
01/06/2021,23,311
01/06/2022,0,219
01/06/2022,1,97
01/06/2022,2,12
01/06/2022,3,26
01/06/2022,4,48
01/06/2022,5,190
01/06/2022,6,539
01/06/2022,7,999
01/06/2022,8,982
01/06/2022,9,731
01/06/2022,10,667
01/06/2022,11,827
01/06/2022,12,962
01/06/2022,13,969
01/06/2022,14,1076
01/06/2022,15,1332
01/06/2022,16,1915
01/06/2022,17,2799
01/06/2022,18,2464
01/06/2022,19,1829
01/06/2022,20,1319
01/06/2022,21,905
01/06/2022,22,985
01/06/2022,23,600
01/07/2019,0,87
01/07/2019,1,58
01/07/2019,2,31
01/07/2019,3,20
01/07/2019,4,29
