DATE,HOUR,RENTED_BIKE_COUNT
01/01/2014,0,67
01/01/2014,1,104
01/01/2014,2,121
01/01/2014,3,64
01/01/2014,4,10
01/01/2014,5,11
01/01/2014,6,10
01/01/2014,7,10
01/01/2014,8,26
01/01/2014,9,67
01/01/2014,10,92
01/01/2014,11,179
01/01/2014,12,260
01/01/2014,13,282
01/01/2014,14,336
01/01/2014,15,294
01/01/2014,16,281
01/01/2014,17,208
01/01/2014,18,147
01/01/2014,19,139
01/01/2014,20,105
01/01/2014,21,91
01/01/2014,22,67
01/01/2014,23,40
01/01/2015,0,54
01/01/2015,1,114
01/01/2015,2,100
01/01/2015,3,16
01/01/2015,4,8
01/01/2015,5,6
01/01/2015,6,7
01/01/2015,7,11
01/01/2015,8,32
01/01/2015,9,46
01/01/2015,10,103
01/01/2015,11,214
01/01/2015,12,202
01/01/2015,13,206
01/01/2015,14,231
01/01/2015,15,249
01/01/2015,16,285
01/01/2015,17,201
01/01/2015,18,149
01/01/2015,19,97
01/01/2015,20,90
01/01/2015,21,71
01/01/2015,22,54
01/01/2015,23,32
01/01/2016,0,56
01/01/2016,1,105
01/01/2016,2,74
01/01/2016,3,32
01/01/2016,4,13
01/01/2016,5,5
01/01/2016,6,10
01/01/2016,7,14
01/01/2016,8,54
01/01/2016,9,101
01/01/2016,10,120
01/01/2016,11,239
01/01/2016,12,232
01/01/2016,13,295
01/01/2016,14,324
01/01/2016,15,338
01/01/2016,16,342
01/01/2016,17,247
01/01/2016,18,185
01/01/2016,19,160
01/01/2016,20,90
01/01/2016,21,75
01/01/2016,22,70
01/01/2016,23,39
01/01/2017,0,77
01/01/2017,1,80
01/01/2017,2,62
01/01/2017,3,18
01/01/2017,4,5
01/01/2017,5,5
01/01/2017,6,8
01/01/2017,7,24
01/01/2017,8,53
01/01/2017,9,108
01/01/2017,10,168
01/01/2017,11,248
01/01/2017,12,375
01/01/2017,13,420
01/01/2017,14,522
01/01/2017,15,546
01/01/2017,16,390
01/01/2017,17,301
01/01/2017,18,184
01/01/2017,19,162
01/01/2017,20,110
01/01/2017,21,91
01/01/2017,22,60
01/01/2017,23,46
01/01/2018,0,34
01/01/2018,1,49
01/01/2018,2,37
01/01/2018,3,9
01/01/2018,4,12
01/01/2018,5,8
01/01/2018,6,9
01/01/2018,7,11
01/01/2018,8,19
01/01/2018,9,31
01/01/2018,10,61
01/01/2018,11,97
01/01/2018,12,104
01/01/2018,13,116
01/01/2018,14,113
01/01/2018,15,124
01/01/2018,16,88
01/01/2018,17,87
01/01/2018,18,51
01/01/2018,19,56
01/01/2018,20,41
01/01/2018,21,27
01/01/2018,22,20
01/01/2018,23,9
01/02/2014,0,83
01/02/2014,1,63
01/02/2014,2,50
01/02/2014,3,20
01/02/2014,4,5
01/02/2014,5,4
01/02/2014,6,13
01/02/2014,7,39
01/02/2014,8,124
01/02/2014,9,218
01/02/2014,10,294
01/02/2014,11,370
01/02/2014,12,443
01/02/2014,13,477
01/02/2014,14,516
01/02/2014,15,564
01/02/2014,16,515
01/02/2014,17,413
01/02/2014,18,310
01/02/2014,19,237
01/02/2014,20,164
01/02/2014,21,182
01/02/2014,22,143
01/02/2014,23,95
01/02/2015,0,84
01/02/2015,1,49
01/02/2015,2,40
01/02/2015,3,12
01/02/2015,4,4
01/02/2015,5,5
01/02/2015,6,1
01/02/2015,7,27
01/02/2015,8,95
01/02/2015,9,141
01/02/2015,10,265
01/02/2015,11,275
01/02/2015,12,327
01/02/2015,13,317
01/02/2015,14,256
01/02/2015,15,321
01/02/2015,16,336
01/02/2015,17,366
01/02/2015,18,238
01/02/2015,19,89
01/02/2015,20,71
01/02/2015,21,64
01/02/2015,22,167
01/02/2015,23,37
01/02/2016,0,19
01/02/2016,1,9
01/02/2016,2,4
01/02/2016,3,2
01/02/2016,4,3
01/02/2016,5,57
01/02/2016,6,149
01/02/2016,7,439
01/02/2016,8,667
01/02/2016,9,317
01/02/2016,10,151
01/02/2016,11,167
01/02/2016,12,205
01/02/2016,13,194
01/02/2016,14,105
01/02/2016,15,69
01/02/2016,16,207
01/02/2016,17,524
01/02/2016,18,433
01/02/2016,19,334
01/02/2016,20,224
01/02/2016,21,167
01/02/2016,22,91
01/02/2016,23,67
01/02/2017,0,27
01/02/2017,1,10
01/02/2017,2,9
01/02/2017,3,3
01/02/2017,4,6
01/02/2017,5,92
01/02/2017,6,250
01/02/2017,7,683
01/02/2017,8,1119
01/02/2017,9,485
01/02/2017,10,230
01/02/2017,11,271
01/02/2017,12,297
01/02/2017,13,281
01/02/2017,14,225
01/02/2017,15,323
01/02/2017,16,589
01/02/2017,17,1139
01/02/2017,18,824
01/02/2017,19,517
01/02/2017,20,343
01/02/2017,21,237
01/02/2017,22,187
01/02/2017,23,84
01/02/2018,0,22
01/02/2018,1,10
01/02/2018,2,2
01/02/2018,3,4
01/02/2018,4,9
01/02/2018,5,68
01/02/2018,6,236
01/02/2018,7,598
01/02/2018,8,1065
01/02/2018,9,487
01/02/2018,10,220
01/02/2018,11,253
01/02/2018,12,329
01/02/2018,13,267
01/02/2018,14,259
01/02/2018,15,367
01/02/2018,16,568
01/02/2018,17,965
01/02/2018,18,801
01/02/2018,19,525
01/02/2018,20,335
01/02/2018,21,195
01/02/2018,22,103
01/02/2018,23,44
01/03/2014,0,61
01/03/2014,1,45
01/03/2014,2,26
01/03/2014,3,8
01/03/2014,4,4
01/03/2014,5,2
01/03/2014,6,19
01/03/2014,7,46
01/03/2014,8,104
01/03/2014,9,187
01/03/2014,10,256
01/03/2014,11,325
01/03/2014,12,356
01/03/2014,13,364
01/03/2014,14,400
01/03/2014,15,410
01/03/2014,16,428
01/03/2014,17,387
01/03/2014,18,329
01/03/2014,19,250
01/03/2014,20,190
01/03/2014,21,143
01/03/2014,22,106
01/03/2014,23,114
01/03/2015,0,44
01/03/2015,1,36
01/03/2015,2,39
01/03/2015,3,10
01/03/2015,4,2
01/03/2015,5,3
01/03/2015,6,7
01/03/2015,7,43
01/03/2015,8,50
01/03/2015,9,83
01/03/2015,10,73
01/03/2015,11,63
01/03/2015,12,48
01/03/2015,13,34
01/03/2015,14,22
01/03/2015,15,33
01/03/2015,16,27
01/03/2015,17,28
01/03/2015,18,32
01/03/2015,19,16
01/03/2015,20,19
01/03/2015,21,22
01/03/2015,22,27
01/03/2015,23,7
01/03/2016,0,15
01/03/2016,1,12
01/03/2016,2,7
01/03/2016,3,5
01/03/2016,4,11
01/03/2016,5,59
01/03/2016,6,241
01/03/2016,7,732
01/03/2016,8,1122
01/03/2016,9,443
01/03/2016,10,220
01/03/2016,11,249
01/03/2016,12,353
01/03/2016,13,334
01/03/2016,14,308
01/03/2016,15,367
01/03/2016,16,556
01/03/2016,17,1169
01/03/2016,18,937
01/03/2016,19,566
01/03/2016,20,358
01/03/2016,21,261
01/03/2016,22,192
01/03/2016,23,71
01/03/2017,0,27
01/03/2017,1,19
01/03/2017,2,11
01/03/2017,3,4
01/03/2017,4,8
01/03/2017,5,90
01/03/2017,6,318
01/03/2017,7,795
