temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,snowfall,visibility,dew_point_2m,DATE,HOUR
-0.7,48,1.89,0.0,0.0,,-10.4,01/01/2014,0
-0.3,47,0.94,0.0,0.0,,-10.3,01/01/2014,1
-0.3,50,0.41,0.0,0.0,,-9.6,01/01/2014,2
-0.4,52,0.2,0.0,0.0,,-9.1,01/01/2014,3
-0.7,57,0.85,0.0,0.0,,-8.1,01/01/2014,4
-0.7,60,0.98,0.0,0.0,,-7.5,01/01/2014,5
-1.6,67,0.58,0.0,0.0,,-6.9,01/01/2014,6
-2.0,69,1.33,0.0,0.0,,-6.9,01/01/2014,7
-2.0,69,1.53,0.0,0.0,,-7.0,01/01/2014,8
-1.9,70,2.09,0.0,0.0,,-6.6,01/01/2014,9
0.5,65,2.22,0.0,0.0,,-5.4,01/01/2014,10
2.8,57,2.5,0.0,0.0,,-4.8,01/01/2014,11
4.3,54,2.83,0.0,0.0,,-4.3,01/01/2014,12
5.4,52,2.83,0.0,0.0,,-3.6,01/01/2014,13
6.1,52,2.81,0.0,0.0,,-3.1,01/01/2014,14
6.6,53,2.72,0.0,0.0,,-2.2,01/01/2014,15
6.7,55,2.82,0.0,0.0,,-1.7,01/01/2014,16
5.8,62,2.11,0.0,0.0,,-1.0,01/01/2014,17
3.9,71,1.87,0.0,0.0,,-0.8,01/01/2014,18
2.6,80,2.39,0.0,0.0,,-0.5,01/01/2014,19
1.7,87,2.48,0.0,0.0,,-0.2,01/01/2014,20
0.9,90,2.42,0.0,0.0,,-0.6,01/01/2014,21
0.2,90,1.99,0.0,0.0,,-1.2,01/01/2014,22
-0.3,89,1.8,0.0,0.0,,-1.9,01/01/2014,23
-0.9,87,1.91,0.0,0.0,,-2.8,02/01/2014,0
-0.7,86,2.02,0.0,0.0,,-2.8,02/01/2014,1
-0.6,84,1.84,0.0,0.0,,-3.0,02/01/2014,2
-0.7,85,1.73,0.0,0.0,,-2.9,02/01/2014,3
-1.0,86,1.65,0.0,0.0,,-3.1,02/01/2014,4
-0.9,85,1.33,0.0,0.0,,-3.1,02/01/2014,5
-0.4,83,0.64,0.0,0.0,,-3.0,02/01/2014,6
-0.9,86,0.86,0.0,0.0,,-3.0,02/01/2014,7
-0.6,85,1.22,0.0,0.0,,-2.8,02/01/2014,8
0.5,82,1.42,0.0,0.0,,-2.2,02/01/2014,9
0.8,86,1.77,0.0,0.0,,-1.2,02/01/2014,10
2.9,73,2.02,0.0,0.0,,-1.4,02/01/2014,11
4.0,70,2.19,0.0,0.0,,-1.1,02/01/2014,12
4.9,67,2.82,0.0,0.0,,-0.7,02/01/2014,13
5.4,66,3.18,0.0,0.0,,-0.3,02/01/2014,14
4.4,70,2.47,0.0,0.0,,-0.6,02/01/2014,15
3.4,76,2.38,0.1,0.0,,-0.4,02/01/2014,16
2.4,84,2.75,0.4,0.14,,0.1,02/01/2014,17
1.6,93,3.09,0.6,0.35,,0.5,02/01/2014,18
1.1,98,2.94,0.6,0.35,,0.8,02/01/2014,19
0.9,99,2.41,0.8,0.56,,0.7,02/01/2014,20
0.8,99,2.5,1.2,0.84,,0.6,02/01/2014,21
0.4,97,2.47,1.4,0.98,,0.0,02/01/2014,22
-0.1,96,2.89,1.4,0.98,,-0.7,02/01/2014,23
-0.5,94,3.4,1.1,0.77,,-1.3,03/01/2014,0
-0.9,92,3.55,1.0,0.7,,-2.0,03/01/2014,1
-1.4,90,3.9,0.7,0.49,,-2.8,03/01/2014,2
-1.7,88,4.96,0.4,0.28,,-3.5,03/01/2014,3
-2.6,78,6.72,0.2,0.14,,-5.8,03/01/2014,4
-5.1,69,7.38,0.0,0.07,,-9.9,03/01/2014,5
-7.0,63,6.95,0.0,0.0,,-12.9,03/01/2014,6
-8.5,62,7.23,0.0,0.0,,-14.5,03/01/2014,7
-9.5,61,6.9,0.0,0.0,,-15.6,03/01/2014,8
-10.1,62,6.75,0.0,0.0,,-15.9,03/01/2014,9
-10.0,58,6.81,0.0,0.0,,-16.7,03/01/2014,10
-9.5,56,6.67,0.0,0.0,,-16.7,03/01/2014,11
-8.6,53,6.59,0.0,0.0,,-16.5,03/01/2014,12
-7.8,50,6.25,0.0,0.0,,-16.4,03/01/2014,13
-7.1,47,5.97,0.0,0.0,,-16.5,03/01/2014,14
-6.1,45,5.61,0.0,0.0,,-16.0,03/01/2014,15
-6.0,44,4.95,0.0,0.0,,-16.4,03/01/2014,16
-6.3,44,4.04,0.0,0.0,,-16.6,03/01/2014,17
-7.2,50,2.16,0.0,0.0,,-15.9,03/01/2014,18
-8.7,56,2.66,0.0,0.0,,-16.0,03/01/2014,19
-10.3,57,3.12,0.0,0.0,,-17.2,03/01/2014,20
-11.6,58,3.08,0.0,0.0,,-18.3,03/01/2014,21
-11.0,52,2.98,0.0,0.0,,-19.0,03/01/2014,22
-8.2,42,2.48,0.0,0.0,,-18.9,03/01/2014,23
-8.0,41,1.91,0.0,0.0,,-19.0,04/01/2014,0
-8.0,41,1.06,0.0,0.0,,-19.0,04/01/2014,1
-7.9,41,0.63,0.0,0.0,,-18.9,04/01/2014,2
-7.6,42,0.5,0.0,0.0,,-18.3,04/01/2014,3
-7.6,43,0.85,0.0,0.0,,-18.0,04/01/2014,4
-7.7,47,1.58,0.0,0.0,,-17.0,04/01/2014,5
-7.7,52,1.14,0.0,0.0,,-15.9,04/01/2014,6
-7.5,55,1.97,0.0,0.0,,-15.1,04/01/2014,7
-8.7,60,2.94,0.0,0.0,,-15.0,04/01/2014,8
-11.5,70,2.72,0.0,0.0,,-16.0,04/01/2014,9
-10.2,68,2.81,0.0,0.0,,-15.0,04/01/2014,10
-5.4,54,3.81,0.0,0.0,,-13.2,04/01/2014,11
-2.7,48,4.2,0.0,0.0,,-12.1,04/01/2014,12
-1.2,45,4.05,0.0,0.0,,-11.5,04/01/2014,13
-0.2,44,3.86,0.0,0.0,,-11.0,04/01/2014,14
-0.2,45,3.89,0.0,0.0,,-10.7,04/01/2014,15
0.1,46,3.77,0.0,0.0,,-10.3,04/01/2014,16
-0.7,54,2.9,0.0,0.0,,-9.0,04/01/2014,17
-2.7,59,2.33,0.0,0.0,,-9.7,04/01/2014,18
-4.0,62,2.63,0.0,0.0,,-10.3,04/01/2014,19
-4.7,63,2.71,0.0,0.0,,-10.6,04/01/2014,20
-5.1,64,2.8,0.0,0.0,,-10.8,04/01/2014,21
-4.9,64,2.81,0.0,0.0,,-10.6,04/01/2014,22
-4.2,64,3.08,0.0,0.0,,-9.9,04/01/2014,23
-3.1,65,3.48,0.0,0.0,,-8.8,05/01/2014,0
-1.4,65,3.49,0.0,0.0,,-7.2,05/01/2014,1
-0.2,66,3.62,0.0,0.0,,-5.8,05/01/2014,2
-1.1,69,3.4,0.0,0.0,,-6.0,05/01/2014,3
-0.5,70,3.22,0.0,0.0,,-5.2,05/01/2014,4
-0.5,74,2.91,0.0,0.0,,-4.6,05/01/2014,5
-0.4,76,1.8,0.0,0.0,,-4.1,05/01/2014,6
-0.2,79,1.55,0.0,0.0,,-3.4,05/01/2014,7
-0.2,83,2.02,0.0,0.0,,-2.8,05/01/2014,8
-0.2,86,1.56,0.0,0.0,,-2.3,05/01/2014,9
0.6,86,1.5,0.1,0.0,,-1.5,05/01/2014,10
1.4,84,1.13,0.3,0.0,,-0.9,05/01/2014,11
1.6,88,0.95,0.4,0.0,,-0.2,05/01/2014,12
1.6,91,1.24,0.6,0.0,,0.3,05/01/2014,13
1.9,91,1.26,0.6,0.0,,0.6,05/01/2014,14
2.5,92,1.3,0.5,0.0,,1.4,05/01/2014,15
2.2,95,1.73,0.1,0.0,,1.5,05/01/2014,16
2.3,96,2.01,0.0,0.0,,1.7,05/01/2014,17
2.4,98,2.06,0.0,0.0,,2.1,05/01/2014,18
3.3,98,2.5,0.0,0.0,,3.1,05/01/2014,19
5.3,99,2.5,0.0,0.0,,5.1,05/01/2014,20
8.0,99,3.05,0.0,0.0,,7.8,05/01/2014,21
9.5,99,3.49,0.1,0.0,,9.4,05/01/2014,22
9.4,100,4.11,0.2,0.0,,9.4,05/01/2014,23
9.0,100,4.65,0.0,0.0,,8.9,06/01/2014,0
9.1,99,5.02,0.0,0.0,,9.0,06/01/2014,1
10.0,99,6.43,0.0,0.0,,9.8,06/01/2014,2
11.2,96,6.02,0.0,0.0,,10.5,06/01/2014,3
10.9,96,4.54,0.0,0.0,,10.3,06/01/2014,4
10.4,98,4.05,0.8,0.0,,10.1,06/01/2014,5
10.3,99,3.97,2.0,0.0,,10.1,06/01/2014,6
10.2,99,4.83,1.7,0.0,,10.0,06/01/2014,7
8.9,96,4.81,1.5,0.0,,8.4,06/01/2014,8
7.1,92,3.24,0.3,0.0,,6.0,06/01/2014,9
4.3,88,4.52,0.4,0.0,,2.4,06/01/2014,10
1.8,90,6.33,0.4,0.14,,0.3,06/01/2014,11
0.8,85,5.94,0.4,0.28,,-1.5,06/01/2014,12
1.2,69,5.91,0.0,0.07,,-3.8,06/01/2014,13
2.1,51,6.24,0.0,0.0,,-7.0,06/01/2014,14
3.0,48,6.63,0.0,0.0,,-7.0,06/01/2014,15
2.5,43,6.69,0.0,0.0,,-8.7,06/01/2014,16
1.2,41,6.13,0.0,0.0,,-10.7,06/01/2014,17
-0.3,38,5.37,0.0,0.0,,-12.8,06/01/2014,18
-2.2,36,6.35,0.0,0.0,,-15.3,06/01/2014,19
-4.1,31,7.27,0.0,0.0,,-18.9,06/01/2014,20
-5.9,23,8.06,0.0,0.0,,-23.6,06/01/2014,21
-7.8,19,8.14,0.0,0.0,,-27.4,06/01/2014,22
-9.4,20,8.1,0.0,0.0,,-28.5,06/01/2014,23
-10.6,21,8.06,0.0,0.0,,-28.6,07/01/2014,0
-11.4,22,7.97,0.0,0.0,,-28.9,07/01/2014,1
-12.2,23,7.84,0.0,0.0,,-29.2,07/01/2014,2
-13.1,24,7.67,0.0,0.0,,-29.3,07/01/2014,3
-13.5,25,7.35,0.0,0.0,,-29.6,07/01/2014,4
-14.0,25,6.93,0.0,0.0,,-29.9,07/01/2014,5
-14.4,26,6.2,0.0,0.0,,-29.7,07/01/2014,6
-14.8,26,5.82,0.0,0.0,,-29.9,07/01/2014,7
