DATE,HOUR,RENTED_BIKE_COUNT
01/01/2014,0,115
01/01/2014,1,204
01/01/2014,2,161
01/01/2014,3,144
01/01/2014,4,61
01/01/2014,5,41
01/01/2014,6,38
01/01/2014,7,58
01/01/2014,8,91
01/01/2014,9,129
01/01/2014,10,191
01/01/2014,11,309
01/01/2014,12,424
01/01/2014,13,468
01/01/2014,14,552
01/01/2014,15,542
01/01/2014,16,620
01/01/2014,17,480
01/01/2014,18,382
01/01/2014,19,299
01/01/2014,20,261
01/01/2014,21,223
01/01/2014,22,157
01/01/2014,23,109
01/01/2015,0,114
01/01/2015,1,152
01/01/2015,2,146
01/01/2015,3,83
01/01/2015,4,40
01/01/2015,5,28
01/01/2015,6,36
01/01/2015,7,52
01/01/2015,8,70
01/01/2015,9,122
01/01/2015,10,214
01/01/2015,11,317
01/01/2015,12,351
01/01/2015,13,427
01/01/2015,14,443
01/01/2015,15,497
01/01/2015,16,542
01/01/2015,17,413
01/01/2015,18,340
01/01/2015,19,245
01/01/2015,20,213
01/01/2015,21,190
01/01/2015,22,166
01/01/2015,23,116
01/01/2016,0,297
01/01/2016,1,372
01/01/2016,2,287
01/01/2016,3,223
01/01/2016,4,94
01/01/2016,5,48
01/01/2016,6,76
01/01/2016,7,97
01/01/2016,8,178
01/01/2016,9,302
01/01/2016,10,455
01/01/2016,11,741
01/01/2016,12,874
01/01/2016,13,1032
01/01/2016,14,967
01/01/2016,15,998
01/01/2016,16,978
01/01/2016,17,710
01/01/2016,18,620
01/01/2016,19,493
01/01/2016,20,390
01/01/2016,21,273
01/01/2016,22,276
01/01/2016,23,228
01/01/2018,0,119
01/01/2018,1,168
01/01/2018,2,98
01/01/2018,3,72
01/01/2018,4,34
01/01/2018,5,26
01/01/2018,6,39
01/01/2018,7,68
01/01/2018,8,116
01/01/2018,9,162
01/01/2018,10,218
01/01/2018,11,349
01/01/2018,12,385
01/01/2018,13,444
01/01/2018,14,449
01/01/2018,15,484
01/01/2018,16,463
01/01/2018,17,435
01/01/2018,18,409
01/01/2018,19,291
01/01/2018,20,243
01/01/2018,21,193
01/01/2018,22,155
01/01/2018,23,80
01/02/2014,0,184
01/02/2014,1,114
01/02/2014,2,93
01/02/2014,3,55
01/02/2014,4,39
01/02/2014,5,33
01/02/2014,6,64
01/02/2014,7,131
01/02/2014,8,311
01/02/2014,9,555
01/02/2014,10,729
01/02/2014,11,984
01/02/2014,12,1113
01/02/2014,13,1215
01/02/2014,14,1174
01/02/2014,15,1184
01/02/2014,16,1149
01/02/2014,17,896
01/02/2014,18,777
01/02/2014,19,603
01/02/2014,20,449
01/02/2014,21,312
01/02/2014,22,321
01/02/2014,23,286
01/02/2015,0,88
01/02/2015,1,57
01/02/2015,2,33
01/02/2015,3,23
01/02/2015,4,14
01/02/2015,5,14
01/02/2015,6,26
01/02/2015,7,52
01/02/2015,8,157
01/02/2015,9,232
01/02/2015,10,422
01/02/2015,11,528
01/02/2015,12,546
01/02/2015,13,572
01/02/2015,14,614
01/02/2015,15,592
01/02/2015,16,608
01/02/2015,17,622
01/02/2015,18,450
01/02/2015,19,206
01/02/2015,20,162
01/02/2015,21,111
01/02/2015,22,210
01/02/2015,23,102
01/02/2016,0,132
01/02/2016,1,68
01/02/2016,2,31
01/02/2016,3,21
01/02/2016,4,44
01/02/2016,5,217
01/02/2016,6,769
01/02/2016,7,1667
01/02/2016,8,2973
01/02/2016,9,2010
01/02/2016,10,886
01/02/2016,11,910
01/02/2016,12,1105
01/02/2016,13,1032
01/02/2016,14,1159
01/02/2016,15,1063
01/02/2016,16,1012
01/02/2016,17,2070
01/02/2016,18,2687
01/02/2016,19,1752
01/02/2016,20,1138
01/02/2016,21,803
01/02/2016,22,514
01/02/2016,23,271
01/02/2018,0,184
01/02/2018,1,88
01/02/2018,2,45
01/02/2018,3,28
01/02/2018,4,39
01/02/2018,5,295
01/02/2018,6,1046
01/02/2018,7,2300
01/02/2018,8,4080
01/02/2018,9,2811
01/02/2018,10,1374
01/02/2018,11,1345
01/02/2018,12,1649
01/02/2018,13,1595
01/02/2018,14,1713
01/02/2018,15,1851
01/02/2018,16,2356
01/02/2018,17,3661
01/02/2018,18,3395
01/02/2018,19,2187
01/02/2018,20,1448
01/02/2018,21,1147
01/02/2018,22,660
01/02/2018,23,264
01/03/2014,0,119
01/03/2014,1,62
01/03/2014,2,39
01/03/2014,3,22
01/03/2014,4,30
01/03/2014,5,29
01/03/2014,6,61
01/03/2014,7,103
01/03/2014,8,243
01/03/2014,9,422
01/03/2014,10,515
01/03/2014,11,686
01/03/2014,12,752
01/03/2014,13,810
01/03/2014,14,848
01/03/2014,15,914
01/03/2014,16,837
01/03/2014,17,734
01/03/2014,18,586
01/03/2014,19,442
01/03/2014,20,317
01/03/2014,21,216
01/03/2014,22,221
01/03/2014,23,194
01/03/2015,0,108
01/03/2015,1,67
01/03/2015,2,53
01/03/2015,3,30
01/03/2015,4,27
01/03/2015,5,16
01/03/2015,6,35
01/03/2015,7,84
01/03/2015,8,167
01/03/2015,9,310
01/03/2015,10,390
01/03/2015,11,483
01/03/2015,12,380
01/03/2015,13,196
01/03/2015,14,106
01/03/2015,15,93
01/03/2015,16,42
01/03/2015,17,51
01/03/2015,18,62
01/03/2015,19,33
01/03/2015,20,33
01/03/2015,21,40
01/03/2015,22,41
01/03/2015,23,32
01/03/2016,0,132
01/03/2016,1,72
01/03/2016,2,36
01/03/2016,3,31
01/03/2016,4,52
01/03/2016,5,255
01/03/2016,6,939
01/03/2016,7,2056
01/03/2016,8,3577
01/03/2016,9,2305
01/03/2016,10,1222
01/03/2016,11,1076
01/03/2016,12,1225
01/03/2016,13,1441
01/03/2016,14,1399
01/03/2016,15,1476
01/03/2016,16,1908
01/03/2016,17,3183
01/03/2016,18,3024
01/03/2016,19,1961
01/03/2016,20,1267
01/03/2016,21,902
01/03/2016,22,618
01/03/2016,23,352
01/03/2018,0,329
01/03/2018,1,146
01/03/2018,2,86
01/03/2018,3,32
01/03/2018,4,72
01/03/2018,5,372
01/03/2018,6,1404
01/03/2018,7,3200
01/03/2018,8,5657
