DATE,HOUR,RENTED_BIKE_COUNT,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,snowfall,visibility,dew_point_2m
01/01/2023,0,19,14.6,51,8.04,0.0,0.0,,4.8
01/01/2023,4,26,14.9,53,6.13,0.0,0.0,,5.4
01/01/2023,5,15,14.4,56,5.72,0.0,0.0,,5.8
01/01/2023,6,10,14.2,59,5.47,0.0,0.0,,6.4
01/01/2023,7,7,13.8,62,5.73,0.0,0.0,,6.6
01/01/2023,8,8,13.6,64,5.61,0.0,0.0,,7.1
01/01/2023,9,10,13.2,69,5.72,0.0,0.0,,7.6
01/01/2023,10,16,12.6,75,5.5,0.2,0.0,,8.2
01/01/2023,11,21,12.6,75,4.7,0.0,0.0,,8.4
01/01/2023,12,29,12.9,74,4.52,0.0,0.0,,8.4
01/01/2023,13,30,12.7,76,4.74,0.0,0.0,,8.6
01/01/2023,14,25,11.9,88,3.9,0.0,0.0,,10.1
01/01/2023,15,25,11.9,91,3.96,0.8,0.0,,10.4
01/01/2023,16,28,11.7,92,3.36,1.3,0.0,,10.4
01/01/2023,17,32,12.1,90,4.16,0.2,0.0,,10.4
01/01/2023,18,33,12.0,89,4.47,0.6,0.0,,10.3
01/01/2023,19,32,11.9,88,4.12,0.7,0.0,,10.0
01/01/2023,20,26,12.2,85,4.32,0.0,0.0,,9.8
01/01/2023,21,21,12.6,83,3.81,0.0,0.0,,9.8
01/01/2023,22,18,14.1,75,5.31,0.0,0.0,,9.6
01/01/2023,23,13,15.0,68,6.26,0.0,0.0,,9.1
01/01/2024,0,21,7.4,77,7.41,0.0,0.0,,3.6
01/01/2024,1,29,7.3,76,7.12,0.0,0.0,,3.3
01/01/2024,2,32,7.1,75,7.18,0.0,0.0,,3.0
01/01/2024,3,32,7.1,71,6.82,0.0,0.0,,2.2
01/01/2024,4,24,7.1,71,6.94,0.0,0.0,,2.2
01/01/2024,5,17,6.8,72,6.8,0.0,0.0,,2.2
01/01/2024,6,11,6.6,74,6.52,0.0,0.0,,2.3
01/01/2024,7,7,6.4,75,6.35,0.0,0.0,,2.3
01/01/2024,8,10,6.2,77,6.02,0.0,0.0,,2.5
01/01/2024,9,11,6.1,79,5.4,0.0,0.0,,2.7
01/01/2024,10,15,5.8,82,5.02,0.0,0.0,,2.9
01/01/2024,11,22,6.5,81,5.09,0.0,0.0,,3.4
01/01/2024,12,29,7.4,80,4.34,0.0,0.0,,4.2
01/01/2024,13,32,8.5,77,5.24,0.0,0.0,,4.8
01/01/2024,14,37,9.1,76,5.27,0.0,0.0,,5.1
01/01/2024,15,45,9.4,76,5.24,0.0,0.0,,5.4
01/01/2024,16,47,9.8,72,5.38,0.0,0.0,,5.0
01/01/2024,17,45,9.6,74,4.76,0.0,0.0,,5.1
01/01/2024,18,42,8.4,78,4.22,0.0,0.0,,4.8
01/01/2024,19,38,8.1,80,4.9,0.0,0.0,,4.9
01/01/2024,20,27,8.4,80,5.8,0.0,0.0,,5.2
01/01/2024,21,18,8.6,82,6.65,0.1,0.0,,5.7
01/01/2024,22,15,8.4,89,6.96,0.8,0.0,,6.7
01/01/2024,23,11,8.7,90,8.3,1.2,0.0,,7.2
01/02/2023,0,27,6.6,90,3.96,0.0,0.0,,5.1
01/02/2023,1,10,7.6,88,5.03,0.0,0.0,,5.7
01/02/2023,2,6,7.2,86,4.63,0.0,0.0,,5.1
01/02/2023,3,3,7.3,88,4.62,0.0,0.0,,5.6
01/02/2023,4,3,7.3,87,4.43,0.0,0.0,,5.2
01/02/2023,5,6,7.2,81,4.79,0.0,0.0,,4.1
01/02/2023,6,17,6.6,83,4.46,0.0,0.0,,3.8
01/02/2023,7,74,6.3,83,4.03,0.0,0.0,,3.7
