DATE,HOUR,RENTED_BIKE_COUNT,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,snowfall,dew_point_2m,SOLAR_RADIATION,VISIBILITY
01/01/2022,0,575,-9.1,50,1.72,0.0,0.0,-17.8,0.0,2000
01/01/2022,1,466,-9.1,51,1.14,0.0,0.0,-17.5,0.0,2000
01/01/2022,2,328,-9.1,52,0.89,0.0,0.0,-17.2,0.0,2000
01/01/2022,3,250,-9.1,53,1.08,0.0,0.0,-17.0,0.0,2000
01/01/2022,4,246,-9.1,53,1.08,0.0,0.0,-16.9,0.0,2000
01/01/2022,5,288,-9.0,53,0.67,0.0,0.0,-16.8,0.0,2000
01/01/2022,6,488,-8.8,52,0.61,0.0,0.0,-16.9,0.0,2000
01/01/2022,7,625,-8.7,51,0.2,0.0,0.0,-17.0,0.0,2000
01/01/2022,8,699,-8.6,49,0.7,0.0,0.0,-17.4,0.0,2000
01/01/2022,9,923,-9.4,56,2.1,0.0,0.0,-16.6,0.26,2000
01/01/2022,10,1069,-7.2,45,1.91,0.0,0.0,-17.0,0.79,2000
01/01/2022,11,1348,-4.9,38,1.22,0.0,0.0,-17.0,1.26,2000
01/01/2022,12,1680,-3.0,35,0.61,0.0,0.0,-16.2,1.59,2000
01/01/2022,13,1928,-1.6,35,0.42,0.0,0.0,-15.0,1.73,2000
01/01/2022,14,2200,-0.6,35,1.02,0.0,0.0,-14.1,1.64,2000
01/01/2022,15,2559,-0.1,36,1.24,0.0,0.0,-13.4,1.35,2000
01/01/2022,16,2570,-0.2,37,1.65,0.0,0.0,-13.1,0.89,2000
01/01/2022,17,2363,-3.2,48,2.4,0.0,0.0,-12.8,0.35,2000
01/01/2022,18,1947,-4.8,56,2.44,0.0,0.0,-12.4,0.01,2000
01/01/2022,19,1545,-5.6,63,2.21,0.0,0.0,-11.4,0.0,2000
01/01/2022,20,1411,-5.6,68,1.9,0.0,0.0,-10.6,0.0,2000
01/01/2022,21,1701,-6.3,66,2.2,0.0,0.0,-11.6,0.0,2000
01/01/2022,22,1180,-4.0,56,2.14,0.0,0.0,-11.5,0.0,2000
01/01/2022,23,792,-3.7,54,2.55,0.0,0.0,-11.7,0.0,2000
01/01/2023,0,1567,-1.9,80,2.85,0.0,0.0,-4.8,0.0,2000
01/01/2023,1,1653,-1.1,81,3.2,0.0,0.0,-3.9,0.0,2000
01/01/2023,2,1150,-0.2,77,3.13,0.0,0.0,-3.8,0.0,2000
01/01/2023,3,824,-2.2,86,2.06,0.0,0.0,-4.2,0.0,2000
01/01/2023,4,653,-3.9,89,2.05,0.0,0.0,-5.5,0.0,2000
01/01/2023,5,549,-4.0,86,1.72,0.0,0.0,-5.9,0.0,2000
01/01/2023,6,798,-4.3,86,1.58,0.0,0.0,-6.3,0.0,2000
01/01/2023,7,1042,-5.2,87,1.61,0.0,0.0,-7.0,0.0,2000
01/01/2023,8,1187,-5.3,87,1.92,0.0,0.0,-7.2,0.0,2000
01/01/2023,9,1315,-4.4,80,2.1,0.0,0.0,-7.3,0.26,2000
01/01/2023,10,1592,-2.3,68,1.97,0.0,0.0,-7.5,0.8,2000
01/01/2023,11,1683,-0.7,57,2.68,0.0,0.0,-8.2,1.3,2000
01/01/2023,12,2047,0.7,41,3.67,0.0,0.0,-11.0,1.63,2000
01/01/2023,13,2427,1.5,32,4.61,0.0,0.0,-13.6,1.76,2000
