DATE,HOUR,RENTED_BIKE_COUNT
01/01/2022,0,575
01/01/2022,1,466
01/01/2022,2,328
01/01/2022,3,250
01/01/2022,4,246
01/01/2022,5,288
01/01/2022,6,488
01/01/2022,7,625
01/01/2022,8,699
01/01/2022,9,923
01/01/2022,10,1069
01/01/2022,11,1348
01/01/2022,12,1680
01/01/2022,13,1928
01/01/2022,14,2200
01/01/2022,15,2559
01/01/2022,16,2570
01/01/2022,17,2363
01/01/2022,18,1947
01/01/2022,19,1545
01/01/2022,20,1411
01/01/2022,21,1701
01/01/2022,22,1180
01/01/2022,23,792
01/01/2023,0,1567
01/01/2023,1,1653
01/01/2023,2,1150
01/01/2023,3,824
01/01/2023,4,653
01/01/2023,5,549
01/01/2023,6,798
01/01/2023,7,1042
01/01/2023,8,1187
01/01/2023,9,1315
01/01/2023,10,1592
01/01/2023,11,1683
01/01/2023,12,2047
01/01/2023,13,2427
01/01/2023,14,2516
01/01/2023,15,2814
01/01/2023,16,2797
01/01/2023,17,2545
01/01/2023,18,2056
01/01/2023,19,1699
01/01/2023,20,1516
01/01/2023,21,1412
01/01/2023,22,1198
01/01/2023,23,997
01/01/2024,0,1312
01/01/2024,1,1775
01/01/2024,2,1355
01/01/2024,3,951
01/01/2024,4,697
01/01/2024,5,647
01/01/2024,6,912
01/01/2024,7,1033
01/01/2024,8,1173
01/01/2024,9,1225
01/01/2024,10,1550
01/01/2024,11,1830
01/01/2024,12,2416
01/01/2024,13,2807
01/01/2024,14,3154
01/01/2024,15,3392
01/01/2024,16,3568
01/01/2024,17,3519
01/01/2024,18,2982
01/01/2024,19,2596
01/01/2024,20,2368
01/01/2024,21,2228
01/01/2024,22,1863
01/01/2024,23,1274
01/02/2022,0,273
01/02/2022,1,214
01/02/2022,2,154
01/02/2022,3,64
01/02/2022,4,33
01/02/2022,5,54
01/02/2022,6,81
01/02/2022,7,123
01/02/2022,8,208
01/02/2022,9,221
01/02/2022,10,302
01/02/2022,11,490
01/02/2022,12,655
01/02/2022,13,832
01/02/2022,14,1038
01/02/2022,15,1151
01/02/2022,16,1485
01/02/2022,17,1404
01/02/2022,18,1203
01/02/2022,19,1107
01/02/2022,20,939
01/02/2022,21,968
01/02/2022,22,698
01/02/2022,23,514
01/02/2023,0,1508
01/02/2023,1,1144
01/02/2023,2,739
01/02/2023,3,496
01/02/2023,4,394
01/02/2023,5,822
01/02/2023,6,1652
01/02/2023,7,3875
01/02/2023,8,7401
01/02/2023,9,3677
01/02/2023,10,2498
01/02/2023,11,3001
01/02/2023,12,3310
01/02/2023,13,3180
01/02/2023,14,3160
01/02/2023,15,3285
01/02/2023,16,3791
01/02/2023,17,5672
01/02/2023,18,7674
01/02/2023,19,4550
01/02/2023,20,3368
01/02/2023,21,3021
01/02/2023,22,2643
01/02/2023,23,1615
01/02/2024,0,1720
