temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,snowfall,dew_point_2m,DATE,HOUR,SOLAR_RADIATION,VISIBILITY
-9.1,50,1.72,0.0,0.0,-17.8,01/01/2022,0,0.0,2000
-9.1,51,1.14,0.0,0.0,-17.5,01/01/2022,1,0.0,2000
-9.1,52,0.89,0.0,0.0,-17.2,01/01/2022,2,0.0,2000
-9.1,53,1.08,0.0,0.0,-17.0,01/01/2022,3,0.0,2000
-9.1,53,1.08,0.0,0.0,-16.9,01/01/2022,4,0.0,2000
-9.0,53,0.67,0.0,0.0,-16.8,01/01/2022,5,0.0,2000
-8.8,52,0.61,0.0,0.0,-16.9,01/01/2022,6,0.0,2000
-8.7,51,0.2,0.0,0.0,-17.0,01/01/2022,7,0.0,2000
-8.6,49,0.7,0.0,0.0,-17.4,01/01/2022,8,0.0,2000
-9.4,56,2.1,0.0,0.0,-16.6,01/01/2022,9,0.26,2000
-7.2,45,1.91,0.0,0.0,-17.0,01/01/2022,10,0.79,2000
-4.9,38,1.22,0.0,0.0,-17.0,01/01/2022,11,1.26,2000
-3.0,35,0.61,0.0,0.0,-16.2,01/01/2022,12,1.59,2000
-1.6,35,0.42,0.0,0.0,-15.0,01/01/2022,13,1.73,2000
-0.6,35,1.02,0.0,0.0,-14.1,01/01/2022,14,1.64,2000
-0.1,36,1.24,0.0,0.0,-13.4,01/01/2022,15,1.35,2000
-0.2,37,1.65,0.0,0.0,-13.1,01/01/2022,16,0.89,2000
-3.2,48,2.4,0.0,0.0,-12.8,01/01/2022,17,0.35,2000
-4.8,56,2.44,0.0,0.0,-12.4,01/01/2022,18,0.01,2000
-5.6,63,2.21,0.0,0.0,-11.4,01/01/2022,19,0.0,2000
-5.6,68,1.9,0.0,0.0,-10.6,01/01/2022,20,0.0,2000
-6.3,66,2.2,0.0,0.0,-11.6,01/01/2022,21,0.0,2000
-4.0,56,2.14,0.0,0.0,-11.5,01/01/2022,22,0.0,2000
-3.7,54,2.55,0.0,0.0,-11.7,01/01/2022,23,0.0,2000
-3.5,53,1.98,0.0,0.0,-11.9,02/01/2022,0,0.0,2000
-3.5,53,2.08,0.0,0.0,-11.6,02/01/2022,1,0.0,2000
-4.0,56,2.01,0.0,0.0,-11.4,02/01/2022,2,0.0,2000
-3.1,53,3.2,0.0,0.0,-11.4,02/01/2022,3,0.0,2000
-2.3,51,3.69,0.0,0.0,-11.1,02/01/2022,4,0.0,2000
-1.7,55,3.41,0.1,0.07,-9.5,02/01/2022,5,0.0,2000
-1.2,62,3.48,0.3,0.21,-7.7,02/01/2022,6,0.0,2000
-0.8,74,3.16,0.0,0.0,-4.8,02/01/2022,7,0.0,2000
-1.5,90,1.92,0.0,0.0,-3.0,02/01/2022,8,0.0,2000
-2.2,73,0.73,0.0,0.0,-6.4,02/01/2022,9,0.25,2000
-0.1,70,1.41,0.0,0.0,-4.8,02/01/2022,10,0.59,2000
0.7,74,3.24,0.0,0.0,-3.5,02/01/2022,11,0.88,2000
1.1,65,3.67,0.0,0.0,-4.7,02/01/2022,12,1.5,2000
2.0,54,4.25,0.0,0.0,-6.4,02/01/2022,13,1.72,2000
2.2,40,4.88,0.0,0.0,-10.1,02/01/2022,14,1.67,2000
1.8,31,4.8,0.0,0.0,-13.6,02/01/2022,15,1.4,2000
0.8,31,4.44,0.0,0.0,-14.6,02/01/2022,16,0.93,2000
-1.4,31,3.09,0.0,0.0,-16.4,02/01/2022,17,0.37,2000
-4.1,36,2.75,0.0,0.0,-16.9,02/01/2022,18,0.02,2000
-5.2,40,2.6,0.0,0.0,-16.9,02/01/2022,19,0.0,2000
-6.2,41,2.33,0.0,0.0,-17.2,02/01/2022,20,0.0,2000
-6.1,51,2.36,0.0,0.0,-14.5,02/01/2022,21,0.0,2000
-6.3,54,2.14,0.0,0.0,-14.1,02/01/2022,22,0.0,2000
-6.8,57,1.42,0.0,0.0,-14.0,02/01/2022,23,0.0,2000
-7.4,61,1.39,0.0,0.0,-13.6,03/01/2022,0,0.0,2000
-7.6,61,1.2,0.0,0.0,-13.8,03/01/2022,1,0.0,2000
-7.7,60,1.14,0.0,0.0,-14.1,03/01/2022,2,0.0,2000
-7.8,60,0.94,0.0,0.0,-14.2,03/01/2022,3,0.0,2000
-8.1,63,0.95,0.0,0.0,-13.9,03/01/2022,4,0.0,2000
-8.4,65,1.17,0.0,0.0,-13.8,03/01/2022,5,0.0,2000
-8.5,66,1.24,0.0,0.0,-13.8,03/01/2022,6,0.0,2000
-8.6,67,1.02,0.0,0.0,-13.8,03/01/2022,7,0.0,2000
-8.6,66,0.54,0.0,0.0,-13.9,03/01/2022,8,0.0,2000
-7.8,61,0.64,0.0,0.0,-14.1,03/01/2022,9,0.26,2000
-5.1,41,0.3,0.0,0.0,-16.2,03/01/2022,10,0.8,2000
-2.8,31,0.22,0.0,0.0,-17.5,03/01/2022,11,1.28,2000
-0.9,36,1.92,0.0,0.0,-14.1,03/01/2022,12,1.6,2000
0.3,42,3.11,0.0,0.0,-11.0,03/01/2022,13,1.72,2000
0.8,45,3.5,0.0,0.0,-9.7,03/01/2022,14,1.65,2000
0.9,50,3.6,0.0,0.0,-8.4,03/01/2022,15,1.3,2000
0.4,57,2.77,0.0,0.0,-7.1,03/01/2022,16,0.83,2000
-2.5,75,1.98,0.0,0.0,-6.3,03/01/2022,17,0.34,2000
-4.3,83,2.28,0.0,0.0,-6.8,03/01/2022,18,0.02,2000
-3.2,84,1.84,0.0,0.0,-5.6,03/01/2022,19,0.0,2000
-2.4,81,1.75,0.0,0.0,-5.2,03/01/2022,20,0.0,2000
-2.2,78,0.3,0.0,0.0,-5.5,03/01/2022,21,0.0,2000
-1.8,79,0.45,0.1,0.07,-5.0,03/01/2022,22,0.0,2000
-1.7,81,0.92,0.0,0.0,-4.6,03/01/2022,23,0.0,2000
-1.3,81,1.7,0.0,0.0,-4.2,04/01/2022,0,0.0,2000
-1.6,85,2.34,0.0,0.0,-3.8,04/01/2022,1,0.0,2000
-1.5,83,3.55,0.0,0.0,-4.1,04/01/2022,2,0.0,2000
-3.1,83,2.72,0.0,0.0,-5.6,04/01/2022,3,0.0,2000
-4.2,81,2.69,0.0,0.0,-6.9,04/01/2022,4,0.0,2000
-4.5,75,3.0,0.0,0.0,-8.2,04/01/2022,5,0.0,2000
-5.1,68,2.97,0.0,0.0,-10.1,04/01/2022,6,0.0,2000
-5.9,63,2.64,0.0,0.0,-11.9,04/01/2022,7,0.0,2000
-6.6,57,2.38,0.0,0.0,-13.6,04/01/2022,8,0.0,2000
-5.9,71,2.82,0.0,0.0,-10.4,04/01/2022,9,0.27,2000
-4.6,50,3.18,0.0,0.0,-13.4,04/01/2022,10,0.82,2000
-3.1,36,3.22,0.0,0.0,-16.1,04/01/2022,11,1.33,2000
-1.8,27,3.55,0.0,0.0,-18.5,04/01/2022,12,1.68,2000
-1.0,28,3.7,0.0,0.0,-17.2,04/01/2022,13,1.82,2000
-0.4,24,4.0,0.0,0.0,-18.5,04/01/2022,14,1.74,2000
-0.3,22,4.02,0.0,0.0,-19.4,04/01/2022,15,1.44,2000
-0.8,22,3.89,0.0,0.0,-20.1,04/01/2022,16,0.96,2000
-2.2,25,2.91,0.0,0.0,-19.5,04/01/2022,17,0.39,2000
-4.2,27,2.68,0.0,0.0,-20.5,04/01/2022,18,0.02,2000
-5.0,29,2.66,0.0,0.0,-20.2,04/01/2022,19,0.0,2000
-5.6,31,2.69,0.0,0.0,-20.1,04/01/2022,20,0.0,2000
-5.9,35,2.46,0.0,0.0,-18.9,04/01/2022,21,0.0,2000
-6.2,37,1.9,0.0,0.0,-18.5,04/01/2022,22,0.0,2000
-6.7,40,1.43,0.0,0.0,-18.0,04/01/2022,23,0.0,2000
-7.1,43,1.36,0.0,0.0,-17.5,05/01/2022,0,0.0,2000
-7.3,45,1.25,0.0,0.0,-17.1,05/01/2022,1,0.0,2000
-7.4,44,1.26,0.0,0.0,-17.7,05/01/2022,2,0.0,2000
-7.8,43,1.73,0.0,0.0,-18.1,05/01/2022,3,0.0,2000
-6.9,40,1.08,0.0,0.0,-18.4,05/01/2022,4,0.0,2000
-7.8,43,1.12,0.0,0.0,-18.2,05/01/2022,5,0.0,2000
-7.7,42,1.25,0.0,0.0,-18.4,05/01/2022,6,0.0,2000
-7.6,43,0.92,0.0,0.0,-18.1,05/01/2022,7,0.0,2000
-7.5,44,0.58,0.0,0.0,-17.7,05/01/2022,8,0.0,2000
-6.6,52,2.47,0.0,0.0,-14.8,05/01/2022,9,0.22,2000
-4.4,49,1.55,0.0,0.0,-13.6,05/01/2022,10,0.54,2000
-2.2,44,1.8,0.0,0.0,-12.7,05/01/2022,11,0.86,2000
-0.2,39,1.7,0.0,0.0,-12.5,05/01/2022,12,1.15,2000
1.1,36,1.7,0.0,0.0,-12.4,05/01/2022,13,1.19,2000
2.5,37,1.66,0.0,0.0,-10.8,05/01/2022,14,1.33,2000
2.7,39,0.89,0.0,0.0,-9.9,05/01/2022,15,0.95,2000
2.5,40,1.21,0.0,0.0,-9.7,05/01/2022,16,0.61,2000
0.0,45,1.77,0.0,0.0,-10.4,05/01/2022,17,0.21,2000
-1.1,44,1.92,0.0,0.0,-11.9,05/01/2022,18,0.01,2000
-1.8,40,1.78,0.0,0.0,-13.6,05/01/2022,19,0.0,2000
-2.2,38,1.8,0.0,0.0,-14.6,05/01/2022,20,0.0,2000
-3.3,38,1.84,0.0,0.0,-15.6,05/01/2022,21,0.0,2000
-3.7,38,2.43,0.0,0.0,-15.8,05/01/2022,22,0.0,2000
-3.8,37,2.6,0.0,0.0,-16.2,05/01/2022,23,0.0,2000
-4.2,38,2.55,0.0,0.0,-16.6,06/01/2022,0,0.0,2000
-4.8,38,2.38,0.0,0.0,-16.9,06/01/2022,1,0.0,2000
-5.4,40,2.19,0.0,0.0,-17.0,06/01/2022,2,0.0,2000
-5.2,40,1.98,0.0,0.0,-16.9,06/01/2022,3,0.0,2000
-5.5,40,1.98,0.0,0.0,-17.0,06/01/2022,4,0.0,2000
-6.1,43,1.72,0.0,0.0,-16.7,06/01/2022,5,0.0,2000
-6.1,43,2.02,0.0,0.0,-16.6,06/01/2022,6,0.0,2000
-6.3,42,1.7,0.0,0.0,-17.1,06/01/2022,7,0.0,2000
-6.2,40,1.88,0.0,0.0,-17.6,06/01/2022,8,0.0,2000
-6.2,56,1.97,0.0,0.0,-13.6,06/01/2022,9,0.27,2000
-3.6,43,1.87,0.0,0.0,-14.4,06/01/2022,10,0.82,2000
